Cell HMS LINCS ID	Cell Name	Small Molecule HMS LINCS ID	Small Molecule Name	concentration	Small Mol Conc Unit	Replicate	Seeding Density	cell_count__time0	cell_count	cell_count__ctrl
50238	Hs 578T	10146-101-3	Omipalisib	0.0016596	uM	1	156.25	76.08	199.67	200.08
50238	Hs 578T	10146-101-3	Omipalisib	0.0033113	uM	1	156.25	76.08	171.0	200.08
50238	Hs 578T	10146-101-3	Omipalisib	0.01	uM	1	156.25	76.08	148.0	200.08
50238	Hs 578T	10146-101-3	Omipalisib	0.031623	uM	1	156.25	76.08	120.0	200.08
50238	Hs 578T	10146-101-3	Omipalisib	0.1	uM	1	156.25	76.08	83.67	200.08
50238	Hs 578T	10146-101-3	Omipalisib	0.31623	uM	1	156.25	76.08	61.67	200.08
50238	Hs 578T	10146-101-3	Omipalisib	1.0	uM	1	156.25	76.08	49.0	200.08
50238	Hs 578T	10146-101-3	Omipalisib	3.1623	uM	1	156.25	76.08	43.33	200.08
50238	Hs 578T	10146-101-3	Omipalisib	10.0	uM	1	156.25	76.08	41.0	200.08
50238	Hs 578T	10264-999-2	Methotrexate	0.0016596	uM	1	156.25	76.08	202.33	200.08
50238	Hs 578T	10264-999-2	Methotrexate	0.0033113	uM	1	156.25	76.08	190.0	200.08
50238	Hs 578T	10264-999-2	Methotrexate	0.01	uM	1	156.25	76.08	186.33	200.08
50238	Hs 578T	10264-999-2	Methotrexate	0.031623	uM	1	156.25	76.08	198.67	200.08
50238	Hs 578T	10264-999-2	Methotrexate	0.1	uM	1	156.25	76.08	164.33	200.08
50238	Hs 578T	10264-999-2	Methotrexate	0.31623	uM	1	156.25	76.08	110.33	200.08
50238	Hs 578T	10264-999-2	Methotrexate	1.0	uM	1	156.25	76.08	99.33	200.08
50238	Hs 578T	10264-999-2	Methotrexate	3.1623	uM	1	156.25	76.08	119.67	200.08
50238	Hs 578T	10264-999-2	Methotrexate	10.0	uM	1	156.25	76.08	105.33	200.08
50238	Hs 578T	10102-999-6	Taxol	1.6596e-4	uM	1	156.25	76.08	242.33	200.08
50238	Hs 578T	10102-999-6	Taxol	3.3113e-4	uM	1	156.25	76.08	180.0	200.08
50238	Hs 578T	10102-999-6	Taxol	0.001	uM	1	156.25	76.08	117.0	200.08
50238	Hs 578T	10102-999-6	Taxol	0.0031623	uM	1	156.25	76.08	97.33	200.08
50238	Hs 578T	10102-999-6	Taxol	0.01	uM	1	156.25	76.08	68.0	200.08
50238	Hs 578T	10102-999-6	Taxol	0.031623	uM	1	156.25	76.08	65.67	200.08
50238	Hs 578T	10102-999-6	Taxol	0.1	uM	1	156.25	76.08	57.0	200.08
50238	Hs 578T	10102-999-6	Taxol	0.31623	uM	1	156.25	76.08	64.67	200.08
50238	Hs 578T	10102-999-6	Taxol	1.0	uM	1	156.25	76.08	72.67	200.08
50238	Hs 578T	10250-999-4	Etoposide	0.0033113	uM	1	156.25	76.08	264.67	202.42
50238	Hs 578T	10250-999-4	Etoposide	0.01	uM	1	156.25	76.08	239.33	202.42
50238	Hs 578T	10250-999-4	Etoposide	0.031623	uM	1	156.25	76.08	202.0	202.42
50238	Hs 578T	10250-999-4	Etoposide	0.1	uM	1	156.25	76.08	202.67	202.42
50238	Hs 578T	10250-999-4	Etoposide	0.31623	uM	1	156.25	76.08	156.0	202.42
50238	Hs 578T	10250-999-4	Etoposide	1.0	uM	1	156.25	76.08	75.33	202.42
50238	Hs 578T	10250-999-4	Etoposide	3.1623	uM	1	156.25	76.08	72.33	202.42
50238	Hs 578T	10250-999-4	Etoposide	10.0	uM	1	156.25	76.08	52.67	202.42
50238	Hs 578T	10250-999-4	Etoposide	19.9526	uM	1	156.25	76.08	56.33	202.42
50238	Hs 578T	10099-101-1	Nilotinib	0.0033113	uM	1	156.25	76.08	267.0	202.42
50238	Hs 578T	10099-101-1	Nilotinib	0.01	uM	1	156.25	76.08	212.67	202.42
50238	Hs 578T	10099-101-1	Nilotinib	0.031623	uM	1	156.25	76.08	243.67	202.42
50238	Hs 578T	10099-101-1	Nilotinib	0.1	uM	1	156.25	76.08	136.0	202.42
50238	Hs 578T	10099-101-1	Nilotinib	0.31623	uM	1	156.25	76.08	233.33	202.42
50238	Hs 578T	10099-101-1	Nilotinib	1.0	uM	1	156.25	76.08	239.33	202.42
50238	Hs 578T	10099-101-1	Nilotinib	3.1623	uM	1	156.25	76.08	218.67	202.42
50238	Hs 578T	10099-101-1	Nilotinib	10.0	uM	1	156.25	76.08	704.0	202.42
50238	Hs 578T	10099-101-1	Nilotinib	19.9526	uM	1	156.25	76.08	2567.0	202.42
50238	Hs 578T	10049-101-1	PLX-4720	0.0033113	uM	1	156.25	76.08	154.0	202.42
50238	Hs 578T	10049-101-1	PLX-4720	0.01	uM	1	156.25	76.08	198.67	202.42
50238	Hs 578T	10049-101-1	PLX-4720	0.031623	uM	1	156.25	76.08	226.67	202.42
50238	Hs 578T	10049-101-1	PLX-4720	0.1	uM	1	156.25	76.08	207.33	202.42
50238	Hs 578T	10049-101-1	PLX-4720	0.31623	uM	1	156.25	76.08	211.67	202.42
50238	Hs 578T	10049-101-1	PLX-4720	1.0	uM	1	156.25	76.08	242.33	202.42
50238	Hs 578T	10049-101-1	PLX-4720	3.1623	uM	1	156.25	76.08	213.0	202.42
50238	Hs 578T	10049-101-1	PLX-4720	10.0	uM	1	156.25	76.08	191.67	202.42
50238	Hs 578T	10049-101-1	PLX-4720	19.9526	uM	1	156.25	76.08	122.33	202.42
50238	Hs 578T	10024-101-1	NVP-TAE684	0.0016596	uM	1	156.25	76.08	239.33	202.42
50238	Hs 578T	10024-101-1	NVP-TAE684	0.0033113	uM	1	156.25	76.08	297.67	202.42
50238	Hs 578T	10024-101-1	NVP-TAE684	0.01	uM	1	156.25	76.08	228.0	202.42
50238	Hs 578T	10024-101-1	NVP-TAE684	0.031623	uM	1	156.25	76.08	222.33	202.42
50238	Hs 578T	10024-101-1	NVP-TAE684	0.1	uM	1	156.25	76.08	220.33	202.42
50238	Hs 578T	10024-101-1	NVP-TAE684	0.31623	uM	1	156.25	76.08	194.0	202.42
50238	Hs 578T	10024-101-1	NVP-TAE684	1.0	uM	1	156.25	76.08	110.0	202.42
50238	Hs 578T	10024-101-1	NVP-TAE684	3.1623	uM	1	156.25	76.08	48.0	202.42
50238	Hs 578T	10024-101-1	NVP-TAE684	10.0	uM	1	156.25	76.08	35.33	202.42
50238	Hs 578T	10071-101-1	Palbociclib	0.0033113	uM	1	156.25	76.08	182.33	200.08
50238	Hs 578T	10071-101-1	Palbociclib	0.01	uM	1	156.25	76.08	198.0	200.08
50238	Hs 578T	10071-101-1	Palbociclib	0.031623	uM	1	156.25	76.08	176.67	200.08
50238	Hs 578T	10071-101-1	Palbociclib	0.1	uM	1	156.25	76.08	171.0	200.08
50238	Hs 578T	10071-101-1	Palbociclib	0.31623	uM	1	156.25	76.08	130.67	200.08
50238	Hs 578T	10071-101-1	Palbociclib	1.0	uM	1	156.25	76.08	94.67	200.08
50238	Hs 578T	10071-101-1	Palbociclib	3.1623	uM	1	156.25	76.08	93.33	200.08
50238	Hs 578T	10071-101-1	Palbociclib	10.0	uM	1	156.25	76.08	80.67	200.08
50238	Hs 578T	10071-101-1	Palbociclib	19.9526	uM	1	156.25	76.08	152.0	200.08
50238	Hs 578T	10146-101-3	Omipalisib	0.0016596	uM	1	312.5	222.17	512.33	550.0
50238	Hs 578T	10146-101-3	Omipalisib	0.0033113	uM	1	312.5	222.17	462.33	550.0
50238	Hs 578T	10146-101-3	Omipalisib	0.01	uM	1	312.5	222.17	416.0	550.0
50238	Hs 578T	10146-101-3	Omipalisib	0.031623	uM	1	312.5	222.17	288.0	550.0
50238	Hs 578T	10146-101-3	Omipalisib	0.1	uM	1	312.5	222.17	176.33	550.0
50238	Hs 578T	10146-101-3	Omipalisib	0.31623	uM	1	312.5	222.17	169.0	550.0
50238	Hs 578T	10146-101-3	Omipalisib	1.0	uM	1	312.5	222.17	148.33	550.0
50238	Hs 578T	10146-101-3	Omipalisib	3.1623	uM	1	312.5	222.17	133.0	550.0
50238	Hs 578T	10146-101-3	Omipalisib	10.0	uM	1	312.5	222.17	93.0	550.0
50238	Hs 578T	10264-999-2	Methotrexate	0.0016596	uM	1	312.5	222.17	644.33	550.0
50238	Hs 578T	10264-999-2	Methotrexate	0.0033113	uM	1	312.5	222.17	636.67	550.0
50238	Hs 578T	10264-999-2	Methotrexate	0.01	uM	1	312.5	222.17	541.33	550.0
50238	Hs 578T	10264-999-2	Methotrexate	0.031623	uM	1	312.5	222.17	544.33	550.0
50238	Hs 578T	10264-999-2	Methotrexate	0.1	uM	1	312.5	222.17	362.67	550.0
50238	Hs 578T	10264-999-2	Methotrexate	0.31623	uM	1	312.5	222.17	341.0	550.0
50238	Hs 578T	10264-999-2	Methotrexate	1.0	uM	1	312.5	222.17	278.67	550.0
50238	Hs 578T	10264-999-2	Methotrexate	3.1623	uM	1	312.5	222.17	271.0	550.0
50238	Hs 578T	10264-999-2	Methotrexate	10.0	uM	1	312.5	222.17	306.33	550.0
50238	Hs 578T	10102-999-6	Taxol	1.6596e-4	uM	1	312.5	222.17	523.0	550.0
50238	Hs 578T	10102-999-6	Taxol	3.3113e-4	uM	1	312.5	222.17	423.33	550.0
50238	Hs 578T	10102-999-6	Taxol	0.001	uM	1	312.5	222.17	332.33	550.0
50238	Hs 578T	10102-999-6	Taxol	0.0031623	uM	1	312.5	222.17	287.67	550.0
50238	Hs 578T	10102-999-6	Taxol	0.01	uM	1	312.5	222.17	141.0	550.0
50238	Hs 578T	10102-999-6	Taxol	0.031623	uM	1	312.5	222.17	144.0	550.0
50238	Hs 578T	10102-999-6	Taxol	0.1	uM	1	312.5	222.17	156.0	550.0
50238	Hs 578T	10102-999-6	Taxol	0.31623	uM	1	312.5	222.17	166.67	550.0
50238	Hs 578T	10102-999-6	Taxol	1.0	uM	1	312.5	222.17	157.33	550.0
50238	Hs 578T	10250-999-4	Etoposide	0.0033113	uM	1	312.5	222.17	713.0	682.08
50238	Hs 578T	10250-999-4	Etoposide	0.01	uM	1	312.5	222.17	790.0	682.08
50238	Hs 578T	10250-999-4	Etoposide	0.031623	uM	1	312.5	222.17	725.67	682.08
50238	Hs 578T	10250-999-4	Etoposide	0.1	uM	1	312.5	222.17	705.33	682.08
50238	Hs 578T	10250-999-4	Etoposide	0.31623	uM	1	312.5	222.17	485.33	682.08
50238	Hs 578T	10250-999-4	Etoposide	1.0	uM	1	312.5	222.17	298.33	682.08
