Cell HMS LINCS ID	Cell Name	Small Molecule HMS LINCS ID	Small Molecule Name	Small Mol Concentration	Small Mol Conc Unit	LJP Library Plate	Timepoint	Timepoint Unit	Mean Total Cell Count Before Treatment	Mean Total Cell Count After Treatment	Mean Total Control Cell Count	Mean Relative Cell Count	Mean Relative Growth Rate After Treatment
50105	BT-20	10133-101-1	Afatinib	0.04	uM	LJP6	72	hr	1097	2874	3769	0.7625	0.6650
50105	BT-20	10035-101-1	Sigma A6730	0.04	uM	LJP5	72	hr	1097	3200	3769	0.8491	0.7871
50105	BT-20	10011-101-1	Alvocidib	0.04	uM	LJP6	72	hr	1097	1075	3769	0.2854	-0.0081
50105	BT-20	10004-101-1	AT-7519	0.04	uM	LJP6	72	hr	1097	3026	3769	0.8028	0.7218
50105	BT-20	10158-101-1	AZD 5438	0.04	uM	LJP6	72	hr	1097	3015	3769	0.7998	0.7176
50105	BT-20	10059-101-1	AZD-6482	0.04	uM	LJP5	72	hr	1097	3658	3769	0.9704	0.9583
50105	BT-20	10006-101-1	AZD7762	0.04	uM	LJP6	72	hr	1097	3676	3769	0.9753	0.9651
50105	BT-20	10007-101-1	AZD8055	0.04	uM	LJP6	72	hr	1097	1423	3769	0.3775	0.1219
50105	BT-20	10164-101-1	AZD8330	0.04	uM	LJP5	72	hr	1097	2875	3769	0.7629	0.6655
50105	BT-20	10067-101-1	Barasertib	0.04	uM	LJP5	72	hr	1097	2918	3769	0.7741	0.6813
50105	BT-20	10041-101-1	BI-2536	0.04	uM	LJP6	72	hr	1097	876	3769	0.2324	-0.0828
50105	BT-20	10028-102-1	BMS345541	0.04	uM	LJP6	72	hr	1097	3601	3769	0.9555	0.9372
50105	BT-20	10132-101-1	SNS-032	0.04	uM	LJP6	72	hr	1097	3257	3769	0.8641	0.8083
50105	BT-20	10234-101-1	GDC-0980	0.04	uM	LJP5	72	hr	1097	1402	3769	0.3719	0.1140
50105	BT-20	10122-101-1	NVP-AEW541	0.04	uM	LJP5	72	hr	1097	3834	3769	1.0171	1.0241
50105	BT-20	10046-101-1	SB590885	0.04	uM	LJP5	72	hr	1097	3918	3769	1.0395	1.0557
50105	BT-20	10190-101-1	PIK-93	0.04	uM	LJP5	72	hr	1097	3895	3769	1.0335	1.0472
50105	BT-20	10031-101-1	KIN001-043	0.04	uM	LJP6	72	hr	1097	3507	3769	0.9304	0.9019
50105	BT-20	10233-101-1	Alpelisib	0.04	uM	LJP5	72	hr	1097	4057	3769	1.0763	1.1076
50105	BT-20	10161-101-1	Luminespib	0.04	uM	LJP5	72	hr	1097	1146	3769	0.3042	0.0185
50105	BT-20	10045-101-1	A443654	0.04	uM	LJP6	72	hr	1097	2449	3769	0.6497	0.5058
50105	BT-20	10063-102-1	OSI-027	0.04	uM	LJP6	72	hr	1097	3523	3769	0.9346	0.9077
50105	BT-20	10087-101-1	XMD11-85h	0.04	uM	LJP6	72	hr	1097	2783	3769	0.7384	0.6310
50105	BT-20	10017-101-1	HG-6-64-01	0.04	uM	LJP6	72	hr	1097	3336	3769	0.8850	0.8378
50105	BT-20	10039-101-1	WH-4-025	0.04	uM	LJP5	72	hr	1097	3933	3769	1.0434	1.0612
50105	BT-20	10082-101-1	WZ-4-145	0.04	uM	LJP6	72	hr	1097	2843	3769	0.7544	0.6535
50105	BT-20	10091-101-1	XMD16-144	0.04	uM	LJP5	72	hr	1097	2663	3769	0.7066	0.5862
50105	BT-20	10177-101-1	Brivanib	0.04	uM	LJP5	72	hr	1097	3576	3769	0.9487	0.9276
50105	BT-20	10147-101-1	Buparlisib	0.04	uM	LJP5	72	hr	1097	3777	3769	1.0021	1.0029
50105	BT-20	10055-101-1	BX-912	0.04	uM	LJP5	72	hr	1097	3479	3769	0.9229	0.8913
50105	BT-20	10120-102-1	Canertinib	0.04	uM	LJP6	72	hr	1097	3493	3769	0.9268	0.8968
50105	BT-20	10117-101-1	Celastrol	0.04	uM	LJP6	72	hr	1097	3972	3769	1.0539	1.0760
50105	BT-20	10025-101-1	CGP60474	0.04	uM	LJP5	72	hr	1097	3053	3769	0.8101	0.7321
50105	BT-20	10025-101-1	CGP60474	0.04	uM	LJP6	72	hr	1097	724	3769	0.1921	-0.1397
50105	BT-20	10180-101-1	CHIR-99021	0.04	uM	LJP6	72	hr	1097	3192	3769	0.8469	0.7840
50105	BT-20	10010-101-1	CP724714	0.04	uM	LJP5	72	hr	1097	3635	3769	0.9644	0.9498
50105	BT-20	10009-101-1	CP466722	0.04	uM	LJP5	72	hr	1097	4112	3769	1.0910	1.1284
50105	BT-20	10027-101-1	Crizotinib	0.04	uM	LJP5	72	hr	1097	3340	3769	0.8861	0.8393
50105	BT-20	10140-101-1	Momelotinib	0.04	uM	LJP5	72	hr	1097	3659	3769	0.9708	0.9588
50105	BT-20	10020-101-1	Dasatinib	0.04	uM	LJP5	72	hr	1097	3075	3769	0.8159	0.7403
50105	BT-20	10020-101-1	Dasatinib	0.04	uM	LJP6	72	hr	1097	1604	3769	0.4256	0.1898
50105	BT-20	10127-101-1	Dovitinib	0.04	uM	LJP5	72	hr	1097	3447	3769	0.9145	0.8794
50105	BT-20	10069-101-1	Enzastaurin	0.04	uM	LJP5	72	hr	1097	3937	3769	1.0446	1.0629
50105	BT-20	10097-101-1	Erlotinib	0.04	uM	LJP5	72	hr	1097	3377	3769	0.8960	0.8532
50105	BT-20	10157-101-1	Foretinib	0.04	uM	LJP5	72	hr	1097	4073	3769	1.0807	1.1138
50105	BT-20	10040-101-1	R406	0.04	uM	LJP6	72	hr	1097	3449	3769	0.9151	0.8802
50105	BT-20	10047-101-1	GDC-0941	0.04	uM	LJP6	72	hr	1097	2743	3769	0.7278	0.6160
50105	BT-20	10098-101-1	Gefitinib	0.04	uM	LJP6	72	hr	1097	3523	3769	0.9346	0.9077
50105	BT-20	10108-101-1	Geldanamycin	0.04	uM	LJP5	72	hr	1097	1707	3769	0.4529	0.2283
50105	BT-20	10108-101-1	Geldanamycin	0.04	uM	LJP6	72	hr	1097	1280	3769	0.3396	0.0684
50105	BT-20	10172-101-1	GSK1059615	0.04	uM	LJP5	72	hr	1097	3637	3769	0.9650	0.9507
50105	BT-20	10172-101-1	GSK1059615	0.04	uM	LJP6	72	hr	1097	3105	3769	0.8237	0.7513
50105	BT-20	10134-101-1	GSK1904529A	0.04	uM	LJP6	72	hr	1097	3113	3769	0.8260	0.7546
50105	BT-20	10146-101-1	Omipalisib	0.04	uM	LJP6	72	hr	1097	778	3769	0.2064	-0.1195
50105	BT-20	10128-101-1	GSK 690693	0.04	uM	LJP5	72	hr	1097	3239	3769	0.8593	0.8016
50105	BT-20	10014-101-1	GW843682X	0.04	uM	LJP6	72	hr	1097	3006	3769	0.7976	0.7145
50105	BT-20	10015-101-1	HG-5-113-01	0.04	uM	LJP5	72	hr	1097	3850	3769	1.0215	1.0304
50105	BT-20	10016-101-1	HG-5-88-01	0.04	uM	LJP6	72	hr	1097	2905	3769	0.7707	0.6765
50105	BT-20	10023-103-1	Imatinib	0.04	uM	LJP6	72	hr	1097	3748	3769	0.9944	0.9921
50105	BT-20	10100-101-1	JNK-9L	0.04	uM	LJP6	72	hr	1097	2987	3769	0.7926	0.7074
50105	BT-20	10019-101-1	JW-7-24-1	0.04	uM	LJP6	72	hr	1097	2963	3769	0.7862	0.6984
50105	BT-20	10051-104-1	Lapatinib	0.04	uM	LJP6	72	hr	1097	2916	3769	0.7736	0.6806
50105	BT-20	10115-102-1	LDN-193189	0.04	uM	LJP5	72	hr	1097	3807	3769	1.0099	1.0140
50105	BT-20	10182-101-1	Linifanib	0.04	uM	LJP6	72	hr	1097	3950	3769	1.0481	1.0678
50105	BT-20	10135-101-1	Linsitinib	0.04	uM	LJP5	72	hr	1097	3436	3769	0.9116	0.8753
50105	BT-20	10479-102-1	Mitoxantrone	0.04	uM	LJP5	72	hr	1097	1459	3769	0.3872	0.1356
50105	BT-20	10479-102-1	Mitoxantrone	0.04	uM	LJP6	72	hr	1097	1404	3769	0.3725	0.1148
50105	BT-20	10057-102-1	MK2206	0.04	uM	LJP6	72	hr	1097	3292	3769	0.8734	0.8214
50105	BT-20	10018-101-1	Neratinib	0.04	uM	LJP5	72	hr	1097	2893	3769	0.7676	0.6721
50105	BT-20	10099-101-1	Nilotinib	0.04	uM	LJP5	72	hr	1097	3963	3769	1.0515	1.0726
50105	BT-20	10151-101-1	Nintedanib	0.04	uM	LJP6	72	hr	1097	3560	3769	0.9444	0.9216
50105	BT-20	10061-101-1	NU7441	0.04	uM	LJP5	72	hr	1097	4119	3769	1.0929	1.1310
50105	BT-20	10232-101-1	BEZ235	0.04	uM	LJP5	72	hr	1097	1392	3769	0.3693	0.1103
50105	BT-20	10024-101-1	NVP-TAE684	0.04	uM	LJP6	72	hr	1097	3786	3769	1.0045	1.0064
50105	BT-20	10071-101-1	Palbociclib	0.04	uM	LJP6	72	hr	1097	2420	3769	0.6421	0.4951
50105	BT-20	10101-101-1	PD0325901	0.04	uM	LJP5	72	hr	1097	2970	3769	0.7881	0.7011
50105	BT-20	10101-101-1	PD0325901	0.04	uM	LJP6	72	hr	1097	3326	3769	0.8825	0.8343
50105	BT-20	10026-101-1	PD173074	0.04	uM	LJP6	72	hr	1097	3941	3769	1.0457	1.0644
50105	BT-20	10048-101-1	PD184352	0.04	uM	LJP5	72	hr	1097	4128	3769	1.0952	1.1343
50105	BT-20	10159-101-1	Pelitinib	0.04	uM	LJP5	72	hr	1097	3481	3769	0.9235	0.8922
50105	BT-20	10116-101-1	PF431396	0.04	uM	LJP5	72	hr	1097	3635	3769	0.9643	0.9497
50105	BT-20	10112-101-1	PF477736	0.04	uM	LJP5	72	hr	1097	3562	3769	0.9450	0.9225
50105	BT-20	10072-101-1	PF562271	0.04	uM	LJP6	72	hr	1097	3406	3769	0.9036	0.8640
50105	BT-20	10125-101-1	PHA-665752	0.04	uM	LJP5	72	hr	1097	3938	3769	1.0447	1.0630
50105	BT-20	10073-101-1	PHA-793887	0.04	uM	LJP6	72	hr	1097	2523	3769	0.6694	0.5337
50105	BT-20	10126-101-1	PI103	0.04	uM	LJP6	72	hr	1097	3215	3769	0.8531	0.7927
50105	BT-20	10049-101-1	PLX-4720	0.04	uM	LJP5	72	hr	1097	3773	3769	1.0010	1.0014
50105	BT-20	10075-101-1	QL-X-138	0.04	uM	LJP6	72	hr	1097	2930	3769	0.7773	0.6858
50105	BT-20	10077-101-1	QL-XII-47	0.04	uM	LJP6	72	hr	1097	1829	3769	0.4853	0.2740
50105	BT-20	10480-101-1	Radicicol	0.04	uM	LJP5	72	hr	1097	3196	3769	0.8479	0.7855
50105	BT-20	10480-101-1	Radicicol	0.04	uM	LJP6	72	hr	1097	2856	3769	0.7577	0.6583
50105	BT-20	10001-101-1	Seliciclib	0.04	uM	LJP5	72	hr	1097	3909	3769	1.0370	1.0522
50105	BT-20	10138-105-1	Ruxolitinib	0.04	uM	LJP5	72	hr	1097	3687	3769	0.9782	0.9692
50105	BT-20	10148-101-1	XL147	0.04	uM	LJP5	72	hr	1097	4302	3769	1.1413	1.1993
50105	BT-20	10032-101-1	Saracatinib	0.04	uM	LJP6	72	hr	1097	3499	3769	0.9284	0.8990
50105	BT-20	10056-101-1	Selumetinib	0.04	uM	LJP6	72	hr	1097	3709	3769	0.9840	0.9775
50105	BT-20	10052-101-1	Sirolimus	0.04	uM	LJP6	72	hr	1097	2367	3769	0.6280	0.4753
50105	BT-20	10008-101-1	Sorafenib	0.04	uM	LJP6	72	hr	1097	3411	3769	0.9051	0.8661
50105	BT-20	10119-101-1	SU11274	0.04	uM	LJP5	72	hr	1097	4164	3769	1.1048	1.1479
50105	BT-20	10141-101-1	TG 101348	0.04	uM	LJP5	72	hr	1097	4106	3769	1.0894	1.1262
50105	BT-20	10171-101-1	TGX221	0.04	uM	LJP5	72	hr	1097	3685	3769	0.9778	0.9686
50105	BT-20	10079-101-1	Torin1	0.04	uM	LJP6	72	hr	1097	1514	3769	0.4017	0.1561
50105	BT-20	10080-101-1	Torin2	0.04	uM	LJP5	72	hr	1097	969	3769	0.2571	-0.0480
50105	BT-20	10021-101-1	Tozasertib	0.04	uM	LJP5	72	hr	1097	2027	3769	0.5379	0.3482
50105	BT-20	10142-101-1	Trametinib	0.04	uM	LJP5	72	hr	1097	3045	3769	0.8078	0.7289
50105	BT-20	10111-101-1	TWS119	0.04	uM	LJP5	72	hr	1097	3861	3769	1.0244	1.0345
50105	BT-20	10068-101-1	Vemurafenib	0.04	uM	LJP5	72	hr	1097	3679	3769	0.9762	0.9664
50105	BT-20	10481-101-1	Withaferin A	0.04	uM	LJP5	72	hr	1097	4114	3769	1.0915	1.1290
50105	BT-20	10481-101-1	Withaferin A	0.04	uM	LJP6	72	hr	1097	3946	3769	1.0469	1.0662
50105	BT-20	10064-101-1	WYE-125132	0.04	uM	LJP6	72	hr	1097	1767	3769	0.4688	0.2506
50105	BT-20	10084-101-1	WZ3105	0.04	uM	LJP5	72	hr	1097	1794	3769	0.4761	0.2610
50105	BT-20	10086-101-1	XMD11-50	0.04	uM	LJP6	72	hr	1097	2981	3769	0.7909	0.7050
50105	BT-20	10149-102-1	Y39983	0.04	uM	LJP6	72	hr	1097	3422	3769	0.9078	0.8700
50105	BT-20	10109-101-1	YM 201636	0.04	uM	LJP5	72	hr	1097	4179	3769	1.1087	1.1534
50105	BT-20	10053-101-1	ZSTK474	0.04	uM	LJP6	72	hr	1097	3487	3769	0.9251	0.8944
50105	BT-20	10133-101-1	Afatinib	0.12	uM	LJP6	72	hr	1097	3032	3769	0.8044	0.7241
50105	BT-20	10035-101-1	Sigma A6730	0.12	uM	LJP5	72	hr	1097	3378	3769	0.8963	0.8537
50105	BT-20	10011-101-1	Alvocidib	0.12	uM	LJP6	72	hr	1097	613	3769	0.1628	-0.1810
50105	BT-20	10004-101-1	AT-7519	0.12	uM	LJP6	72	hr	1097	1875	3769	0.4976	0.2913
50105	BT-20	10158-101-1	AZD 5438	0.12	uM	LJP6	72	hr	1097	2250	3769	0.5971	0.4316
50105	BT-20	10059-101-1	AZD-6482	0.12	uM	LJP5	72	hr	1097	3269	3769	0.8674	0.8129
50105	BT-20	10006-101-1	AZD7762	0.12	uM	LJP6	72	hr	1097	2846	3769	0.7550	0.6544
50105	BT-20	10007-101-1	AZD8055	0.12	uM	LJP6	72	hr	1097	1170	3769	0.3104	0.0272
50105	BT-20	10164-101-1	AZD8330	0.12	uM	LJP5	72	hr	1097	2907	3769	0.7714	0.6775
50105	BT-20	10067-101-1	Barasertib	0.12	uM	LJP5	72	hr	1097	2171	3769	0.5760	0.4019
50105	BT-20	10041-101-1	BI-2536	0.12	uM	LJP6	72	hr	1097	846	3769	0.2246	-0.0938
50105	BT-20	10028-102-1	BMS345541	0.12	uM	LJP6	72	hr	1097	3421	3769	0.9077	0.8698
50105	BT-20	10132-101-1	SNS-032	0.12	uM	LJP6	72	hr	1097	1048	3769	0.2781	-0.0183
50105	BT-20	10234-101-1	GDC-0980	0.12	uM	LJP5	72	hr	1097	984	3769	0.2611	-0.0423
50105	BT-20	10122-101-1	NVP-AEW541	0.12	uM	LJP5	72	hr	1097	3912	3769	1.0378	1.0533
50105	BT-20	10046-101-1	SB590885	0.12	uM	LJP5	72	hr	1097	3896	3769	1.0337	1.0476
50105	BT-20	10190-101-1	PIK-93	0.12	uM	LJP5	72	hr	1097	4017	3769	1.0656	1.0926
50105	BT-20	10031-101-1	KIN001-043	0.12	uM	LJP6	72	hr	1097	3483	3769	0.9240	0.8928
50105	BT-20	10233-101-1	Alpelisib	0.12	uM	LJP5	72	hr	1097	3808	3769	1.0103	1.0145
