Cell HMS LINCS ID	Cell Name	Small Molecule HMS LINCS ID	Small Molecule Name	Small Mol Concentration	Small Mol Conc Unit	LJP Library Plate	Timepoint	Timepoint Unit	Mean Total Cell Count Before Treatment	Mean Total Cell Count After Treatment	Mean Total Control Cell Count	Mean Relative Cell Count	Mean Relative Growth Rate After Treatment
50105	BT-20	10133-101-1	Afatinib	0.04	uM	LJP6	72	hr	1657	3980	5505	0.7230	0.6036
50105	BT-20	10035-101-1	Sigma A6730	0.04	uM	LJP5	72	hr	1657	4910	5505	0.8918	0.8452
50105	BT-20	10011-101-1	Alvocidib	0.04	uM	LJP6	72	hr	1657	2798	5505	0.5083	0.2965
50105	BT-20	10004-101-1	AT-7519	0.04	uM	LJP6	72	hr	1657	5115	5505	0.9291	0.8986
50105	BT-20	10158-101-1	AZD 5438	0.04	uM	LJP6	72	hr	1657	5047	5505	0.9167	0.8808
50105	BT-20	10059-101-1	AZD-6482	0.04	uM	LJP5	72	hr	1657	5328	5505	0.9679	0.9540
50105	BT-20	10006-101-1	AZD7762	0.04	uM	LJP6	72	hr	1657	5881	5505	1.0682	1.0975
50105	BT-20	10007-101-1	AZD8055	0.04	uM	LJP6	72	hr	1657	2584	5505	0.4695	0.2409
50105	BT-20	10164-101-1	AZD8330	0.04	uM	LJP5	72	hr	1657	4063	5505	0.7380	0.6252
50105	BT-20	10067-101-1	Barasertib	0.04	uM	LJP5	72	hr	1657	5249	5505	0.9535	0.9335
50105	BT-20	10041-101-1	BI-2536	0.04	uM	LJP6	72	hr	1657	1491	5505	0.2709	-0.0432
50105	BT-20	10028-102-1	BMS345541	0.04	uM	LJP6	72	hr	1657	5435	5505	0.9872	0.9817
50105	BT-20	10132-101-1	SNS-032	0.04	uM	LJP6	72	hr	1657	4651	5505	0.8449	0.7781
50105	BT-20	10234-101-1	GDC-0980	0.04	uM	LJP5	72	hr	1657	3126	5505	0.5678	0.3816
50105	BT-20	10122-101-1	NVP-AEW541	0.04	uM	LJP5	72	hr	1657	5806	5505	1.0547	1.0782
50105	BT-20	10046-101-1	SB590885	0.04	uM	LJP5	72	hr	1657	5376	5505	0.9765	0.9663
50105	BT-20	10190-101-1	PIK-93	0.04	uM	LJP5	72	hr	1657	5721	5505	1.0392	1.0560
50105	BT-20	10031-101-1	KIN001-043	0.04	uM	LJP6	72	hr	1657	5295	5505	0.9618	0.9453
50105	BT-20	10233-101-1	Alpelisib	0.04	uM	LJP5	72	hr	1657	5760	5505	1.0462	1.0661
50105	BT-20	10161-101-1	Luminespib	0.04	uM	LJP5	72	hr	1657	1802	5505	0.3273	0.0375
50105	BT-20	10045-101-1	A443654	0.04	uM	LJP6	72	hr	1657	2897	5505	0.5262	0.3221
50105	BT-20	10063-102-1	OSI-027	0.04	uM	LJP6	72	hr	1657	5567	5505	1.0111	1.0159
50105	BT-20	10087-101-1	XMD11-85h	0.04	uM	LJP6	72	hr	1657	4630	5505	0.8411	0.7726
50105	BT-20	10017-101-1	HG-6-64-01	0.04	uM	LJP6	72	hr	1657	5824	5505	1.0578	1.0827
50105	BT-20	10039-101-1	WH-4-025	0.04	uM	LJP5	72	hr	1657	5402	5505	0.9813	0.9732
50105	BT-20	10082-101-1	WZ-4-145	0.04	uM	LJP6	72	hr	1657	4689	5505	0.8517	0.7879
50105	BT-20	10091-101-1	XMD16-144	0.04	uM	LJP5	72	hr	1657	5393	5505	0.9797	0.9709
50105	BT-20	10177-101-1	Brivanib	0.04	uM	LJP5	72	hr	1657	5266	5505	0.9565	0.9377
50105	BT-20	10147-101-1	Buparlisib	0.04	uM	LJP5	72	hr	1657	5689	5505	1.0334	1.0477
50105	BT-20	10055-101-1	BX-912	0.04	uM	LJP5	72	hr	1657	5063	5505	0.9197	0.8851
50105	BT-20	10120-102-1	Canertinib	0.04	uM	LJP6	72	hr	1657	4885	5505	0.8874	0.8389
50105	BT-20	10117-101-1	Celastrol	0.04	uM	LJP6	72	hr	1657	5828	5505	1.0587	1.0839
50105	BT-20	10025-101-1	CGP60474	0.04	uM	LJP5	72	hr	1657	5524	5505	1.0034	1.0049
50105	BT-20	10025-101-1	CGP60474	0.04	uM	LJP6	72	hr	1657	1217	5505	0.2211	-0.1145
50105	BT-20	10180-101-1	CHIR-99021	0.04	uM	LJP6	72	hr	1657	5553	5505	1.0087	1.0124
50105	BT-20	10010-101-1	CP724714	0.04	uM	LJP5	72	hr	1657	5207	5505	0.9459	0.9226
50105	BT-20	10009-101-1	CP466722	0.04	uM	LJP5	72	hr	1657	5939	5505	1.0788	1.1127
50105	BT-20	10027-101-1	Crizotinib	0.04	uM	LJP5	72	hr	1657	4615	5505	0.8384	0.7687
50105	BT-20	10140-101-1	Momelotinib	0.04	uM	LJP5	72	hr	1657	4869	5505	0.8844	0.8345
50105	BT-20	10020-101-1	Dasatinib	0.04	uM	LJP5	72	hr	1657	5156	5505	0.9365	0.9091
50105	BT-20	10020-101-1	Dasatinib	0.04	uM	LJP6	72	hr	1657	2745	5505	0.4986	0.2826
50105	BT-20	10127-101-1	Dovitinib	0.04	uM	LJP5	72	hr	1657	4715	5505	0.8565	0.7947
50105	BT-20	10069-101-1	Enzastaurin	0.04	uM	LJP5	72	hr	1657	6123	5505	1.1122	1.1605
50105	BT-20	10097-101-1	Erlotinib	0.04	uM	LJP5	72	hr	1657	4819	5505	0.8753	0.8216
50105	BT-20	10157-101-1	Foretinib	0.04	uM	LJP5	72	hr	1657	5724	5505	1.0397	1.0568
50105	BT-20	10040-101-1	R406	0.04	uM	LJP6	72	hr	1657	5812	5505	1.0556	1.0796
50105	BT-20	10047-101-1	GDC-0941	0.04	uM	LJP6	72	hr	1657	4409	5505	0.8009	0.7151
50105	BT-20	10098-101-1	Gefitinib	0.04	uM	LJP6	72	hr	1657	5762	5505	1.0466	1.0667
50105	BT-20	10108-101-1	Geldanamycin	0.04	uM	LJP5	72	hr	1657	2646	5505	0.4806	0.2568
50105	BT-20	10108-101-1	Geldanamycin	0.04	uM	LJP6	72	hr	1657	2703	5505	0.4910	0.2716
50105	BT-20	10172-101-1	GSK1059615	0.04	uM	LJP5	72	hr	1657	5546	5505	1.0074	1.0106
