SM_Name	SM_LINCS_ID	SM_Alternative_Name	SM_PubChem_CID	SM_InChI_Parent	SM_InChI_Key_Parent	SM_SMILES_Parent	SM_Center_Name	SM_Center_Canonical_ID	SM_Center_Batch_ID	SM_Provider_Name	SM_Provider_Catalog_ID	SM_Provider_Batch_ID	SM_Salt	SM_SMILES_Batch	SM_InChI_Batch	SM_InChI_Key_Batch	SM_Molecular_Mass	SM_Purity	SM_Purity_Method	SM_Aqueous_Solubility	SM_LogP
Afatinib	LSM-43226	BIBW-2992	10184653	InChI=1S/C24H25ClFN5O3/c1-31(2)8-3-4-23(32)30-21-11-17-20(12-22(21)34-16-7-9-33-13-16)27-14-28-24(17)29-15-5-6-19(26)18(25)10-15/h3-6,10-12,14,16H,7-9,13H2,1-2H3,(H,30,32)(H,27,28,29)/b4-3+/t16-/m0/s1		CN(C)C\C=C\C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]4CCOC4		10133	10133-101-1	Haoyuan chemexpress	HY-10261	n/a		CN(C)C/C=C/C(=O)NC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)O[C@H]4CCOC4			485.16				
Sigma A6730	LSM-1035	KIN001-102; AKT inhibitor VIII; Akt1/2 kinase inhibitor	10196499	InChI=1S/C34H29N7O/c42-34-39-26-8-4-5-9-31(26)41(34)25-14-16-40(17-15-25)20-22-10-12-24(13-11-22)33-32(23-6-2-1-3-7-23)37-29-18-27-28(36-21-35-27)19-30(29)38-33/h1-13,18-19,21,25H,14-17,20H2,(H,35,36)(H,39,42)		O=C1Nc2ccccc2N1C3CCN(Cc4ccc(cc4)c5nc6cc7[nH]cnc7cc6nc5c8ccccc8)CC3		10035	10035-101-1	Haoyuan chemexpress	HY-10355	HY-999-20101115		O=C1NC2=CC=CC=C2N1C3CCN(CC3)CC4=CC=C(C=C4)C5=NC6=CC7=C(C=C6N=C5C8=CC=CC=C8)N=CN7			551.24				
flavopiridol	LSM-1011	Alvocidib; HMR-1275; L868275	5287969	InChI=1S/C21H20ClNO5/c1-23-7-6-12(17(27)10-23)19-14(24)8-15(25)20-16(26)9-18(28-21(19)20)11-4-2-3-5-13(11)22/h2-5,8-9,12,17,24-25,27H,6-7,10H2,1H3/t12-,17+/m0/s1		CN1CC[C@@H]([C@H](O)C1)c2c(O)cc(O)c3C(=O)C=C(Oc23)c4ccccc4Cl		10011	10011-101-1	Haoyuan chemexpress	HY-10005	HY-009_TM-20090429		O=C1C=C(C2=CC=CC=C2Cl)OC3=C1C(O)=CC(O)=[C@@]3[C@@H]4[C@H](O)CN(C)CC4			401.10				
AT-7519	LSM-1004		11338033	InChI=1S/C16H17Cl2N5O2/c17-10-2-1-3-11(18)13(10)15(24)22-12-8-20-23-14(12)16(25)21-9-4-6-19-7-5-9/h1-3,8-9,19H,4-7H2,(H,20,23)(H,21,25)(H,22,24)		Clc1cccc(Cl)c1C(=O)Nc2c[nH]nc2C(=O)NC3CCNCC3		10004	10004-101-1	Haoyuan chemexpress	HY-50940	HY-999-20100925		O=C(C1=NNC=C1NC(C2=C(Cl)C=CC=C2Cl)=O)NC3CCNCC3			381.08				
AZD 5438	LSM-1159	KIN001-239	16747683	InChI=1S/C18H21N5O2S/c1-12(2)23-13(3)20-11-17(23)16-9-10-19-18(22-16)21-14-5-7-15(8-6-14)26(4,24)25/h5-12H,1-4H3,(H,19,21,22)		CC(C)n1c(C)ncc1c2ccnc(Nc3ccc(cc3)S(=O)(=O)C)n2		10158	10158-101-1	Haoyuan chemexpress	HY-10012	n/a		CC1=NC=C(N1C(C)C)C2=NC(=NC=C2)NC3=CC=C(C=C3)S(=O)(=O)C			371.14				
AZD-6482	LSM-1059	KIN001-193	44137675	InChI=1S/C22H24N4O4/c1-14-11-17(15(2)23-18-6-4-3-5-16(18)22(28)29)21-24-19(12-20(27)26(21)13-14)25-7-9-30-10-8-25/h3-6,11-13,15,23H,7-10H2,1-2H3,(H,28,29)/t15-/m1/s1		C[C@@H](Nc1ccccc1C(=O)O)C2=CC(=CN3C(=O)C=C(N=C23)N4CCOCC4)C		10059	10059-101-1	Haoyuan chemexpress	HY-10344	HM-043_11-20100607A		CC(C=C2[C@@H](C)NC3=C(C(O)=O)C=CC=C3)=CN1C2=NC(N4CCOCC4)=CC1=O			408.18				
AZD7762	LSM-1006		67077825	InChI=1S/C17H19FN4O2S/c18-11-4-1-3-10(7-11)14-8-13(22-17(19)24)15(25-14)16(23)21-12-5-2-6-20-9-12/h1,3-4,7-8,12,20H,2,5-6,9H2,(H,21,23)(H3,19,22,24)/t12-/m1/s1		NC(=O)Nc1cc(sc1C(=O)N[C@@H]2CCCNC2)c3cccc(F)c3		10006	10006-101-1	Haoyuan chemexpress	HY-10992	HY-999-20101012		NC(NC1=C(C(N[C@H]2CNCCC2)=O)SC(C3=CC(F)=CC=C3)=C1)=O			362.12				
AZD8055	LSM-1007		25262965	InChI=1S/C25H31N5O4/c1-16-14-33-10-8-29(16)24-20-5-6-21(18-4-7-22(32-3)19(12-18)13-31)26-23(20)27-25(28-24)30-9-11-34-15-17(30)2/h4-7,12,16-17,31H,8-11,13-15H2,1-3H3/t16-,17-/m0/s1		COc1ccc(cc1CO)c2ccc3c(nc(nc3n2)N4CCOC[C@@H]4C)N5CCOC[C@@H]5C		10007	10007-101-1	Nathanael Gray (DFCI)	QL-X-57	QL-X-57-1		OCC1=C(OC)C=CC(C2=CC=C(C(N3[C@@H](C)COCC3)=NC(N4[C@@H](C)COCC4)=N5)C5=N2)=C1			465.24				
AZD8330	LSM-1165	ARRY-424704; ARRY-704	16666708	InChI=1S/C16H17FIN3O4/c1-9-7-11(15(23)20-25-6-5-22)14(21(2)16(9)24)19-13-4-3-10(18)8-12(13)17/h3-4,7-8,19,22H,5-6H2,1-2H3,(H,20,23)		CN1C(=O)C(=CC(=C1Nc2ccc(I)cc2F)C(=O)NOCCO)C		10164	10164-101-1	Haoyuan chemexpress	HY-12058	n/a		C1=C(I)C=C(C(=C1)NC(N(C)C(=O)C1C)=C(C=1)C(=O)NOCCO)F			461.02				
Barasertib	LSM-1067	AZD1152-HQPA	16007391	InChI=1S/C26H30FN7O3/c1-2-34(10-11-35)9-4-12-37-21-7-8-22-23(16-21)28-17-29-26(22)31-24-14-20(32-33-24)15-25(36)30-19-6-3-5-18(27)13-19/h3,5-8,13-14,16-17,35H,2,4,9-12,15H2,1H3,(H,30,36)(H2,28,29,31,32,33)		CCN(CCO)CCCOc1ccc2c(Nc3cc(CC(=O)Nc4cccc(F)c4)[nH]n3)ncnc2c1		10067	10067-101-1	Axon Medchem	1580	1580-1		O=C(NC1=CC=CC(F)=C1)CC2=NNC(NC3=C4C=CC(OCCCN(CC)CCO)=CC4=NC=N3)=C2			507.24				
BI-2536	LSM-1041	NPK33-1-98-1	11364421	InChI=1S/C28H39N7O3/c1-5-22-27(37)34(3)23-17-29-28(32-25(23)35(22)20-8-6-7-9-20)31-21-11-10-18(16-24(21)38-4)26(36)30-19-12-14-33(2)15-13-19/h10-11,16-17,19-20,22H,5-9,12-15H2,1-4H3,(H,30,36)(H,29,31,32)/t22-/m1/s1		CC[C@H]1N(C2CCCC2)c3nc(Nc4ccc(cc4OC)C(=O)NC5CCN(C)CC5)ncc3N(C)C1=O		10041	10041-101-1	Haoyuan chemexpress	HY-50698	HM-002_TM-20101224		CN(C1=C(N(C2CCCC2)[C@@H]3CC)N=C(NC4=C(OC)C=C(C(NC5CCN(C)CC5)=O)C=C4)N=C1)C3=O			521.31				
BMS-345541	LSM-1028		9813758	InChI=1S/C14H17N5/c1-9-3-4-11-12(7-9)19-10(2)8-17-14(19)13(18-11)16-6-5-15/h3-4,7-8H,5-6,15H2,1-2H3,(H,16,18)		Cc1ccc2nc(NCCN)c3ncc(C)n3c2c1		10028	10028-102-1	Haoyuan chemexpress	HY-10518	HY-999-20101213		[H]N([H])CCNC1=NC2=C(N3C(C)=CN=C31)C=C(C)C=C2.Cl			255.15				
BMS-387032	LSM-1132	SNS-032	3025986	InChI=1S/C17H24N4O2S2/c1-17(2,3)12-8-19-13(23-12)10-24-14-9-20-16(25-14)21-15(22)11-4-6-18-7-5-11/h8-9,11,18H,4-7,10H2,1-3H3,(H,20,21,22)		CC(C)(C)c1oc(CSc2cnc(NC(=O)C3CCNCC3)s2)nc1		10132	10132-101-1	Haoyuan chemexpress	HY-10008	n/a		CC(C)(C)C1=CN=C(O1)CSC2=CN=C(S2)NC(=O)C3CCNCC3			380.13				
GDC-0980	LSM-4257	RG7422	66694608	InChI=1S/C23H30N8O3S/c1-14-17(13-29-3-5-31(6-4-29)22(33)15(2)32)35-19-18(14)27-20(16-11-25-23(24)26-12-16)28-21(19)30-7-9-34-10-8-30/h11-12,15,32H,3-10,13H2,1-2H3,(H2,24,25,26)		CC(O)C(=O)N1CCN(Cc2sc3c(nc(nc3c2C)c4cnc(N)nc4)N5CCOCC5)CC1		10234	10234-101-1	Haoyuan chemexpress	HY-13246	HM-205_14-20120801		CC1=C(SC2=C1N=C(N=C2N3CCOCC3)C4=CN=C(N=C4)N)CN5CCN(CC5)C(=O)C(C)O			498.22				
NVP-AEW541	LSM-44953	AEW541		InChI=1S/C27H29N5O/c28-26-25-24(21-7-9-23(10-8-21)33-17-19-5-2-1-3-6-19)16-32(27(25)30-18-29-26)22-13-20(14-22)15-31-11-4-12-31/h1-3,5-10,16,18,20,22H,4,11-15,17H2,(H2,28,29,30)		Nc1ncnc2c1c(cn2[C@@H]3C[C@@H](CN4CCC4)C3)c5ccc(OCc6ccccc6)cc5		10122	10122-101-1	Haoyuan chemexpress	HY-50866	n/a		NC1=C2C(N(C=C2C3=CC=C(C=C3)OCC4=CC=CC=C4)[C@H]5C[C@@H](C5)CN6CCC6)=NC=N1			439.24				
SB590885	LSM-42746		53239990	InChI=1S/C27H27N5O2/c1-32(2)15-16-34-22-7-3-19(4-8-22)27-29-25(18-11-13-28-14-12-18)26(30-27)21-5-9-23-20(17-21)6-10-24(23)31-33/h3-5,7-9,11-14,17,28H,6,10,15-16H2,1-2H3,(H,29,30)/b26-21-		CN(C)CCOc1ccc(cc1)c1nc(c([nH]1)=C1C=CNC=C1)=c1ccc2=C(CCc2c1)(N=O)		10046	10046-101-1	Haoyuan chemexpress	HY-10966	HY-999-20090510		O/N=C1CCC2=C/1C=CC(C(NC(C3=CC=C(OCCN(C)C)C=C3)=N4)=C4C5=CC=NC=C5)=C2			453.22				
SB590885	LSM-42746		53239990	InChI=1S/C27H27N5O2/c1-32(2)15-16-34-22-7-3-19(4-8-22)27-29-25(18-11-13-28-14-12-18)26(30-27)21-5-9-23-20(17-21)6-10-24(23)31-33/h3-5,7-9,11-14,17,28H,6,10,15-16H2,1-2H3,(H,29,30)		CN(C)CCOc1ccc(cc1)c1nc(c([nH]1)=C1C=CNC=C1)=c1ccc2=C(CCc2c1)(N=O)		10046	10046-101-1	Haoyuan chemexpress	HY-10966	HY-999-20090510		O/N=C1CCC2=C/1C=CC(C(NC(C3=CC=C(OCCN(C)C)C=C3)=N4)=C4C5=CC=NC=C5)=C2			453.22				
PIK-93	LSM-1191		6852167	InChI=1S/C14H16ClN3O4S2/c1-8-13(23-14(17-8)18-9(2)20)10-3-4-11(15)12(7-10)24(21,22)16-5-6-19/h3-4,7,16,19H,5-6H2,1-2H3,(H,17,18,20)		CC(=O)Nc1nc(C)c(s1)c2ccc(Cl)c(c2)S(=O)(=O)NCCO		10190	10190-101-1	Haoyuan chemexpress	HY-12046	n/a		CC(NC1=NC(C)=C(C2=CC(S(=O)(NCCO)=O)=C(Cl)C=C2)S1)=O			389.03				
