Cell HMS LINCS ID	Cell Name	Small Molecule HMS LINCS ID	Small Molecule Name	Small Mol Concentration	Small Mol Conc Unit	LJP Library Plate	Timepoint	Timepoint Unit	Mean Total Cell Count Before Treatment	Mean Total Cell Count After Treatment	Mean Total Control Cell Count	Mean Relative Cell Count	Mean Normalized Growth Rate Inhibition Value
50029	MCF7	10001-101-1	Seliciclib	0.04	uM	LJP5	72	hr	1235	4831	4267	1.1327	1.1447
50029	MCF7	10001-101-1	Seliciclib	0.12	uM	LJP5	72	hr	1235	4452	4267	1.0429	1.0455
50029	MCF7	10001-101-1	Seliciclib	0.37	uM	LJP5	72	hr	1235	3789	4267	0.8882	0.8715
50029	MCF7	10001-101-1	Seliciclib	1.11	uM	LJP5	72	hr	1235	3527	4267	0.8263	0.7970
50029	MCF7	10001-101-1	Seliciclib	3.33	uM	LJP5	72	hr	1235	3101	4267	0.7256	0.6698
50029	MCF7	10001-101-1	Seliciclib	10	uM	LJP5	72	hr	1235	706	4267	0.1657	-0.2687
50029	MCF7	10004-101-1	AT-7519	0.04	uM	LJP6	72	hr	1235	3560	4056	0.8771	0.8520
50029	MCF7	10004-101-1	AT-7519	0.12	uM	LJP6	72	hr	1235	1396	4056	0.3443	0.0741
50029	MCF7	10004-101-1	AT-7519	0.37	uM	LJP6	72	hr	1235	834	4056	0.2059	-0.2046
50029	MCF7	10004-101-1	AT-7519	1.11	uM	LJP6	72	hr	1235	861	4056	0.2124	-0.1898
50029	MCF7	10004-101-1	AT-7519	3.33	uM	LJP6	72	hr	1235	893	4056	0.2202	-0.1723
50029	MCF7	10004-101-1	AT-7519	10	uM	LJP6	72	hr	1235	735	4056	0.1810	-0.2625
50029	MCF7	10006-101-1	AZD7762	0.04	uM	LJP6	72	hr	1235	1904	4056	0.4696	0.2871
50029	MCF7	10006-101-1	AZD7762	0.12	uM	LJP6	72	hr	1235	1706	4056	0.4209	0.2074
50029	MCF7	10006-101-1	AZD7762	0.37	uM	LJP6	72	hr	1235	1544	4056	0.3810	0.1390
50029	MCF7	10006-101-1	AZD7762	1.11	uM	LJP6	72	hr	1235	1310	4056	0.3230	0.0347
50029	MCF7	10006-101-1	AZD7762	3.33	uM	LJP6	72	hr	1235	1057	4056	0.2607	-0.0870
50029	MCF7	10006-101-1	AZD7762	10	uM	LJP6	72	hr	1235	765	4056	0.1887	-0.2437
50029	MCF7	10007-101-1	AZD8055	0.04	uM	LJP6	72	hr	1235	1307	4056	0.3227	0.0327
50029	MCF7	10007-101-1	AZD8055	0.12	uM	LJP6	72	hr	1235	1319	4056	0.3253	0.0390
50029	MCF7	10007-101-1	AZD8055	0.37	uM	LJP6	72	hr	1235	1289	4056	0.3181	0.0251
50029	MCF7	10007-101-1	AZD8055	1.11	uM	LJP6	72	hr	1235	1291	4056	0.3187	0.0263
50029	MCF7	10007-101-1	AZD8055	3.33	uM	LJP6	72	hr	1235	1242	4056	0.3066	0.0029
50029	MCF7	10007-101-1	AZD8055	10	uM	LJP6	72	hr	1235	1116	4056	0.2755	-0.0574
50029	MCF7	10008-101-1	Sorafenib	0.04	uM	LJP6	72	hr	1235	3940	4056	0.9719	0.9672
50029	MCF7	10008-101-1	Sorafenib	0.12	uM	LJP6	72	hr	1235	3561	4056	0.8777	0.8530
50029	MCF7	10008-101-1	Sorafenib	0.37	uM	LJP6	72	hr	1235	3908	4056	0.9638	0.9574
50029	MCF7	10008-101-1	Sorafenib	1.11	uM	LJP6	72	hr	1235	3680	4056	0.9076	0.8897
