Cell HMS LINCS ID	Cell Name	Small Molecule HMS LINCS ID	Small Molecule Name	LJP Library Plate	AUC
50029	MCF7	10001-101-1	Seliciclib	LJP5	0.7413
50029	MCF7	10004-101-1	AT-7519	LJP6	-0.0951
50029	MCF7	10006-101-1	AZD7762	LJP6	0.0274
50029	MCF7	10007-101-1	AZD8055	LJP6	-0.0414
50029	MCF7	10008-101-1	Sorafenib	LJP6	0.7994
50029	MCF7	10009-101-1	CP466722	LJP5	0.9338
50029	MCF7	10010-101-1	CP724714	LJP5	0.7569
50029	MCF7	10011-101-1	Alvocidib	LJP6	-0.3056
50029	MCF7	10014-101-1	GW843682X	LJP6	0.2298
50029	MCF7	10015-101-1	HG-5-113-01	LJP5	0.3313
50029	MCF7	10016-101-1	HG-5-88-01	LJP6	0.3724
50029	MCF7	10017-101-1	HG-6-64-01	LJP6	0.7449
50029	MCF7	10018-101-1	Neratinib	LJP5	0.4617
50029	MCF7	10019-101-1	JW-7-24-1	LJP6	0.2954
50029	MCF7	10020-101-1	Dasatinib	LJP5	0.1143
50029	MCF7	10020-101-1	Dasatinib	LJP6	-0.0352
50029	MCF7	10021-101-1	Tozasertib	LJP5	0.0673
50029	MCF7	10023-103-1	Imatinib	LJP6	1.0365
50029	MCF7	10024-101-1	NVP-TAE684	LJP6	0.0399
50029	MCF7	10025-101-1	CGP60474	LJP5	-0.1118
50029	MCF7	10025-101-1	CGP60474	LJP6	-0.3523
50029	MCF7	10026-101-1	PD173074	LJP6	0.9980
50029	MCF7	10027-101-1	Crizotinib	LJP5	0.3919
50029	MCF7	10028-102-1	BMS345541	LJP6	0.5192
50029	MCF7	10031-101-1	KIN001-043	LJP6	0.7542
50029	MCF7	10032-101-1	Saracatinib	LJP6	0.4604
50029	MCF7	10035-101-1	Sigma A6730	LJP5	0.5139
50029	MCF7	10039-101-1	WH-4-025	LJP5	0.3818
50029	MCF7	10040-101-1	R406	LJP6	0.8027
50029	MCF7	10041-101-1	BI-2536	LJP6	0.0160
50029	MCF7	10045-101-1	A443654	LJP6	-0.2271
50029	MCF7	10046-101-1	SB590885	LJP5	0.8863
50029	MCF7	10047-101-1	GDC-0941	LJP6	0.0677
50029	MCF7	10048-101-1	PD184352	LJP5	0.6680
50029	MCF7	10049-101-1	PLX-4720	LJP5	0.8900
50029	MCF7	10051-104-1	Lapatinib	LJP6	0.8011
50029	MCF7	10052-101-1	Sirolimus	LJP6	0.4886
50029	MCF7	10053-101-1	ZSTK474	LJP6	0.1998
50029	MCF7	10055-101-1	BX-912	LJP5	0.5307
50029	MCF7	10056-101-1	Selumetinib	LJP6	0.6290
50029	MCF7	10057-102-1	MK2206	LJP6	0.2933
50029	MCF7	10059-101-1	AZD-6482	LJP5	0.7741
50029	MCF7	10061-101-1	NU7441	LJP5	0.7954
50029	MCF7	10063-102-1	OSI-027	LJP6	0.4095
50029	MCF7	10064-101-1	WYE-125132	LJP6	0.1116
50029	MCF7	10067-101-1	Barasertib	LJP5	0.1342
50029	MCF7	10068-101-1	Vemurafenib	LJP5	0.9818
50029	MCF7	10069-101-1	Enzastaurin	LJP5	0.9269
50029	MCF7	10071-101-1	Palbociclib	LJP6	0.4443
50029	MCF7	10072-101-1	PF562271	LJP6	0.3352
50029	MCF7	10073-101-1	PHA-793887	LJP6	-0.0096
50029	MCF7	10075-101-1	QL-X-138	LJP6	0.2447
50029	MCF7	10077-101-1	QL-XII-47	LJP6	0.0946
50029	MCF7	10079-101-1	Torin1	LJP6	0.0485
50029	MCF7	10080-101-1	Torin2	LJP5	-0.0453
50029	MCF7	10082-101-1	WZ-4-145	LJP6	0.3631
50029	MCF7	10084-101-1	WZ3105	LJP5	-0.2866
50029	MCF7	10086-101-1	XMD11-50	LJP6	0.4726
50029	MCF7	10087-101-1	XMD11-85h	LJP6	0.7208
50029	MCF7	10091-101-1	XMD16-144	LJP5	0.0925
50029	MCF7	10097-101-1	Erlotinib	LJP5	0.9670
50029	MCF7	10098-101-1	Gefitinib	LJP6	1.0135
50029	MCF7	10099-101-1	Nilotinib	LJP5	0.8317
50029	MCF7	10100-101-1	JNK-9L	LJP6	0.1302
50029	MCF7	10101-101-1	PD0325901	LJP5	0.4038
50029	MCF7	10101-101-1	PD0325901	LJP6	0.3902
50029	MCF7	10108-101-1	Geldanamycin	LJP5	0.0747
50029	MCF7	10108-101-1	Geldanamycin	LJP6	0.0592
50029	MCF7	10109-101-1	YM 201636	LJP5	0.6355
50029	MCF7	10111-101-1	TWS119	LJP5	0.7415
50029	MCF7	10112-101-1	PF477736	LJP5	0.2985
50029	MCF7	10115-102-1	LDN-193189	LJP5	0.6413
50029	MCF7	10116-101-1	PF431396	LJP5	0.1926
50029	MCF7	10117-101-1	Celastrol	LJP6	0.4035
50029	MCF7	10119-101-1	SU11274	LJP5	0.8053
50029	MCF7	10120-102-1	Canertinib	LJP6	0.5802
50029	MCF7	10122-101-1	NVP-AEW541	LJP5	0.5049
50029	MCF7	10125-101-1	PHA-665752	LJP5	0.9615
50029	MCF7	10126-101-1	PI103	LJP6	0.1465
50029	MCF7	10127-101-1	Dovitinib	LJP5	0.6124
50029	MCF7	10128-101-1	GSK 690693	LJP5	0.4277
50029	MCF7	10132-101-1	SNS-032	LJP6	-0.2871
50029	MCF7	10133-101-1	Afatinib	LJP6	0.5931
50029	MCF7	10134-101-1	GSK1904529A	LJP6	0.3894
50029	MCF7	10135-101-1	Linsitinib	LJP5	0.5214
50029	MCF7	10138-105-1	Ruxolitinib	LJP5	0.9595
50029	MCF7	10140-101-1	Momelotinib	LJP5	0.6106
50029	MCF7	10141-101-1	TG 101348	LJP5	0.5273
50029	MCF7	10142-101-1	Trametinib	LJP5	0.3879
50029	MCF7	10146-101-1	Omipalisib	LJP6	-0.0610
50029	MCF7	10147-101-1	Buparlisib	LJP5	0.1488
50029	MCF7	10148-101-1	XL147	LJP5	0.9897
50029	MCF7	10149-102-1	Y39983	LJP6	0.7319
50029	MCF7	10151-101-1	Nintedanib	LJP6	0.5913
50029	MCF7	10157-101-1	Foretinib	LJP5	0.2452
50029	MCF7	10158-101-1	AZD 5438	LJP6	0.0635
50029	MCF7	10159-101-1	Pelitinib	LJP5	0.6594
50029	MCF7	10161-101-1	Luminespib	LJP5	0.0296
50029	MCF7	10164-101-1	AZD8330	LJP5	0.3806
50029	MCF7	10171-101-1	TGX221	LJP5	0.8700
50029	MCF7	10172-101-1	GSK1059615	LJP5	0.4026
50029	MCF7	10172-101-1	GSK1059615	LJP6	0.3954
50029	MCF7	10177-101-1	Brivanib	LJP5	0.8968
50029	MCF7	10180-101-1	CHIR-99021	LJP6	0.6332
50029	MCF7	10182-101-1	Linifanib	LJP6	0.8239
50029	MCF7	10190-101-1	PIK-93	LJP5	0.7484
50029	MCF7	10232-101-1	BEZ235	LJP5	0.0800
50029	MCF7	10233-101-1	Alpelisib	LJP5	0.4358
50029	MCF7	10234-101-1	GDC-0980	LJP5	-0.0191
50029	MCF7	10479-102-1	Mitoxantrone	LJP5	-0.1457
50029	MCF7	10479-102-1	Mitoxantrone	LJP6	-0.1864
50029	MCF7	10480-101-1	Radicicol	LJP5	0.1891
50029	MCF7	10480-101-1	Radicicol	LJP6	0.1780
50029	MCF7	10481-101-1	Withaferin A	LJP5	0.3444
50029	MCF7	10481-101-1	Withaferin A	LJP6	0.3078
50057	SK-BR-3	10001-101-1	Seliciclib	LJP5	0.7900
50057	SK-BR-3	10004-101-1	AT-7519	LJP6	-0.0772
50057	SK-BR-3	10006-101-1	AZD7762	LJP6	-0.1969
50057	SK-BR-3	10007-101-1	AZD8055	LJP6	-0.1416
50057	SK-BR-3	10008-101-1	Sorafenib	LJP6	0.8548
50057	SK-BR-3	10009-101-1	CP466722	LJP5	0.9238
50057	SK-BR-3	10010-101-1	CP724714	LJP5	0.1943
50057	SK-BR-3	10011-101-1	Alvocidib	LJP6	-0.2701
50057	SK-BR-3	10014-101-1	GW843682X	LJP6	0.1467
50057	SK-BR-3	10015-101-1	HG-5-113-01	LJP5	0.3300
50057	SK-BR-3	10016-101-1	HG-5-88-01	LJP6	0.5648
50057	SK-BR-3	10017-101-1	HG-6-64-01	LJP6	0.5895
50057	SK-BR-3	10018-101-1	Neratinib	LJP5	-0.1413
50057	SK-BR-3	10019-101-1	JW-7-24-1	LJP6	0.4011
50057	SK-BR-3	10020-101-1	Dasatinib	LJP5	0.7060
50057	SK-BR-3	10020-101-1	Dasatinib	LJP6	0.5858
50057	SK-BR-3	10021-101-1	Tozasertib	LJP5	-0.0958
50057	SK-BR-3	10023-103-1	Imatinib	LJP6	1.0568
50057	SK-BR-3	10024-101-1	NVP-TAE684	LJP6	0.5743
50057	SK-BR-3	10025-101-1	CGP60474	LJP5	0.0961
50057	SK-BR-3	10025-101-1	CGP60474	LJP6	-0.3480
50057	SK-BR-3	10026-101-1	PD173074	LJP6	0.9676
50057	SK-BR-3	10027-101-1	Crizotinib	LJP5	0.5062
50057	SK-BR-3	10028-102-1	BMS345541	LJP6	0.5715
50057	SK-BR-3	10031-101-1	KIN001-043	LJP6	0.7146
50057	SK-BR-3	10032-101-1	Saracatinib	LJP6	0.8585
50057	SK-BR-3	10035-101-1	Sigma A6730	LJP5	0.6142
50057	SK-BR-3	10039-101-1	WH-4-025	LJP5	0.7192
50057	SK-BR-3	10040-101-1	R406	LJP6	0.9746
