Cell HMS LINCS ID,Cell Name,Small Molecule HMS LINCS ID,Small Molecule Name,Small Mol Concentration,Small Mol Conc Unit,LJP Library Plate,Replicate,Assay Well,Timepoint,Timepoint Unit,Total Cell Count Before Treatment,Total Cell Count After Treatment,Total Control Cell Count,Relative Cell Count,Normalized Growth Rate Inhibition Value
50029-3,MCF7,10001-101-1,Seliciclib,0.04,uM,LJP5,1,J06,72,hr,1389,5915,5772,1.0247,1.0239
50029-3,MCF7,10001-101-1,Seliciclib,0.04,uM,LJP5,3,J06,72,hr,1389,6077,6038,1.0064,1.0060
50029-3,MCF7,10001-101-1,Seliciclib,0.12,uM,LJP5,1,J05,72,hr,1389,5825,5772,1.0091,1.0088
50029-3,MCF7,10001-101-1,Seliciclib,0.12,uM,LJP5,3,J05,72,hr,1389,6115,6038,1.0127,1.0119
50029-3,MCF7,10001-101-1,Seliciclib,0.37,uM,LJP5,1,J04,72,hr,1389,5231,5772,0.9062,0.9064
50029-3,MCF7,10001-101-1,Seliciclib,0.37,uM,LJP5,3,J04,72,hr,1389,6206,6038,1.0277,1.0260
50029-3,MCF7,10001-101-1,Seliciclib,1.11,uM,LJP5,1,J03,72,hr,1389,4974,5772,0.8617,0.8602
50029-3,MCF7,10001-101-1,Seliciclib,1.11,uM,LJP5,3,J03,72,hr,1389,5578,6038,0.9237,0.9266
50029-3,MCF7,10001-101-1,Seliciclib,3.33,uM,LJP5,1,J02,72,hr,1389,4584,5772,0.7941,0.7878
50029-3,MCF7,10001-101-1,Seliciclib,3.33,uM,LJP5,3,J02,72,hr,1389,5104,6038,0.8452,0.8475
50029-3,MCF7,10001-101-1,Seliciclib,10,uM,LJP5,1,J01,72,hr,1389,1149,5772,0.1991,-0.0882
50029-3,MCF7,10001-101-1,Seliciclib,10,uM,LJP5,3,J01,72,hr,1389,1407,6038,0.2330,0.0061
50029-3,MCF7,10004-101-1,AT-7519,0.04,uM,LJP6,1,K06,72,hr,1389,5493,5147,1.0672,1.0700
50029-3,MCF7,10004-101-1,AT-7519,0.04,uM,LJP6,2,K06,72,hr,1389,5687,5447,1.0439,1.0440
50029-3,MCF7,10004-101-1,AT-7519,0.04,uM,LJP6,3,K06,72,hr,1389,5080,5740,0.8849,0.8841
50029-3,MCF7,10004-101-1,AT-7519,0.12,uM,LJP6,1,K05,72,hr,1389,2594,5147,0.5040,0.3917
50029-3,MCF7,10004-101-1,AT-7519,0.12,uM,LJP6,2,K05,72,hr,1389,2336,5447,0.4288,0.3017
50029-3,MCF7,10004-101-1,AT-7519,0.12,uM,LJP6,3,K05,72,hr,1389,2662,5740,0.4637,0.3740
50029-3,MCF7,10004-101-1,AT-7519,0.37,uM,LJP6,1,K04,72,hr,1389,730,5147,0.1418,-0.2886
50029-3,MCF7,10004-101-1,AT-7519,0.37,uM,LJP6,2,K04,72,hr,1389,747,5447,0.1371,-0.2699
50029-3,MCF7,10004-101-1,AT-7519,0.37,uM,LJP6,3,K04,72,hr,1389,790,5740,0.1376,-0.2410
50029-3,MCF7,10004-101-1,AT-7519,1.11,uM,LJP6,1,K03,72,hr,1389,576,5147,0.1119,-0.3724
50029-3,MCF7,10004-101-1,AT-7519,1.11,uM,LJP6,2,K03,72,hr,1389,445,5447,0.0817,-0.4386
50029-3,MCF7,10004-101-1,AT-7519,1.11,uM,LJP6,3,K03,72,hr,1389,640,5740,0.1115,-0.3152
50029-3,MCF7,10004-101-1,AT-7519,3.33,uM,LJP6,1,K02,72,hr,1389,542,5147,0.1053,-0.3923
50029-3,MCF7,10004-101-1,AT-7519,3.33,uM,LJP6,2,K02,72,hr,1389,424,5447,0.0778,-0.4522
50029-3,MCF7,10004-101-1,AT-7519,3.33,uM,LJP6,3,K02,72,hr,1389,472,5740,0.0822,-0.4098
50029-3,MCF7,10004-101-1,AT-7519,10,uM,LJP6,1,K01,72,hr,1389,370,5147,0.0719,-0.5035
50029-3,MCF7,10004-101-1,AT-7519,10,uM,LJP6,2,K01,72,hr,1389,338,5447,0.0620,-0.5117
50029-3,MCF7,10004-101-1,AT-7519,10,uM,LJP6,3,K01,72,hr,1389,324,5740,0.0564,-0.5089
50029-3,MCF7,10006-101-1,AZD7762,0.04,uM,LJP6,1,L06,72,hr,1389,2020,5147,0.3925,0.2192
50029-3,MCF7,10006-101-1,AZD7762,0.04,uM,LJP6,2,L06,72,hr,1389,2012,5447,0.3693,0.2067
50029-3,MCF7,10006-101-1,AZD7762,0.04,uM,LJP6,3,L06,72,hr,1389,1929,5740,0.3360,0.1740
50029-3,MCF7,10006-101-1,AZD7762,0.12,uM,LJP6,1,L05,72,hr,1389,1626,5147,0.3159,0.0869
50029-3,MCF7,10006-101-1,AZD7762,0.12,uM,LJP6,2,L05,72,hr,1389,1772,5447,0.3253,0.1314
50029-3,MCF7,10006-101-1,AZD7762,0.12,uM,LJP6,3,L05,72,hr,1389,1675,5740,0.2918,0.0958
50029-3,MCF7,10006-101-1,AZD7762,0.37,uM,LJP6,1,L04,72,hr,1389,1410,5147,0.2739,0.0079
