cell_line	drug	concentration	cell_count__time0	cell_count	cell_count__ctrl	log10_concentration	GR	rel_cell_count	ctrl_cell_doublings	experiment
BT-20	A443654	0.04	1657	2897	5383	-1.3979400086720375	0.3891043436510213	0.5381757384358165	1.6998368227979788	BT-20 A443654
BT-20	A443654	0.12	1657	2386	5383	-0.9208187539523752	0.23923817452055318	0.4432472598922534	1.6998368227979788	BT-20 A443654
BT-20	A443654	0.37	1657	1495	5383	-0.431798275933005	-0.058729712033139814	0.27772617499535573	1.6998368227979788	BT-20 A443654
BT-20	A443654	1.11	1657	1225	5383	0.045322978786657475	-0.16280985004354798	0.22756827048114434	1.6998368227979788	BT-20 A443654
BT-20	A443654	3.33	1657	1142	5383	0.5224442335063199	-0.19666096747817885	0.21214935909344232	1.6998368227979788	BT-20 A443654
BT-20	A443654	10	1657	652	5383	1	-0.4223061212503789	0.12112205090098459	1.6998368227979788	BT-20 A443654
BT-20	A443654	0.04	1334	3139	3925	-1.3979400086720375	0.7325948097194117	0.7997452229299363	1.5569339874817667	BT-20 A443654
BT-20	A443654	0.12	1334	2994	3925	-0.9208187539523752	0.6807562011587192	0.7628025477707007	1.5569339874817667	BT-20 A443654
BT-20	A443654	0.37	1334	2004	3925	-0.431798275933005	0.2987309538251439	0.5105732484076433	1.5569339874817667	BT-20 A443654
BT-20	A443654	1.11	1334	1361	3925	0.045322978786657475	0.012953198151031131	0.3467515923566879	1.5569339874817667	BT-20 A443654
BT-20	A443654	3.33	1334	809	3925	0.5224442335063199	-0.2747456289433807	0.20611464968152865	1.5569339874817667	BT-20 A443654
BT-20	A443654	10	1334	232	3925	1	-0.6748569557404462	0.05910828025477707	1.5569339874817667	BT-20 A443654
BT-20	A443654	0.04	1097	2449	3673	-1.3979400086720375	0.5851089860084846	0.6667574190035394	1.7433953703284646	BT-20 A443654
BT-20	A443654	0.12	1097	1500	3673	-0.9208187539523752	0.19658215475819785	0.40838551592703515	1.7433953703284646	BT-20 A443654
