cell_line	drug	concentration	cell_count__time0	cell_count	cell_count__ctrl	log10_concentration	GR	rel_cell_count	ctrl_cell_doublings	experiment
BT-20	A443654	0.04	1362.6666666666667	2828.3333333333335	4327	-1.3979400086720375	0.5497227567339193	0.6536476388567908	1.6669344252054261	BT-20 A443654
BT-20	A443654	0.12	1362.6666666666667	2293.3333333333335	4327	-0.9208187539523752	0.36654753104741333	0.5300053924967261	1.6669344252054261	BT-20 A443654
BT-20	A443654	0.37	1362.6666666666667	1409	4327	-0.431798275933005	0.020261307861329847	0.32562976658192744	1.6669344252054261	BT-20 A443654
BT-20	A443654	1.11	1362.6666666666667	1026.3333333333333	4327	0.045322978786657475	-0.15637168972207416	0.23719282027578767	1.6669344252054261	BT-20 A443654
BT-20	A443654	3.33	1362.6666666666667	806.6666666666666	4327	0.5224442335063199	-0.26986253766291335	0.1864263153840228	1.6669344252054261	BT-20 A443654
BT-20	A443654	10	1362.6666666666667	440.3333333333333	4327	1	-0.4922119901023202	0.10176411678607195	1.6669344252054261	BT-20 A443654
BT-20	Afatinib	0.04	1362.6666666666667	3301.3333333333335	4327	-1.3979400086720375	0.7003675523311639	0.7629612510592405	1.6669344252054261	BT-20 Afatinib
BT-20	Afatinib	0.12	1362.6666666666667	3597.6666666666665	4327	-0.9208187539523752	0.7903508144207532	0.8314459594792388	1.6669344252054261	BT-20 Afatinib
BT-20	Afatinib	0.37	1362.6666666666667	3692	4327	-0.431798275933005	0.8183668980717991	0.8532470533857176	1.6669344252054261	BT-20 Afatinib
BT-20	Afatinib	1.11	1362.6666666666667	3893.6666666666665	4327	0.045322978786657475	0.8773166713188805	0.8998536322317232	1.6669344252054261	BT-20 Afatinib
BT-20	Afatinib	3.33	1362.6666666666667	3828	4327	0.5224442335063199	0.8582585715382738	0.8846776057314537	1.6669344252054261	BT-20 Afatinib
BT-20	Afatinib	10	1362.6666666666667	1488.6666666666667	4327	1	0.05448643499853345	0.34404129111778753	1.6669344252054261	BT-20 Afatinib
BT-20	Alpelisib	0.04	1362.6666666666667	4647.666666666667	4489	-1.3979400086720375	1.0408014531722745	1.035345659760897	1.7199614006990795	BT-20 Alpelisib
BT-20	Alpelisib	0.12	1362.6666666666667	4381	4489	-0.9208187539523752	0.9718815143767794	0.9759411895745155	1.7199614006990795	BT-20 Alpelisib
BT-20	Alpelisib	0.37	1362.6666666666667	3458.6666666666665	4489	-0.431798275933005	0.7186632369483281	0.7704759783173684	1.7199614006990795	BT-20 Alpelisib
BT-20	Alpelisib	1.11	1362.6666666666667	2917.6666666666665	4489	0.045322978786657475	0.5568271066674646	0.6499591594267469	1.7199614006990795	BT-20 Alpelisib
BT-20	Alpelisib	3.33	1362.6666666666667	1675	4489	0.5224442335063199	0.12747996047994836	0.373134328358209	1.7199614006990795	BT-20 Alpelisib
BT-20	Alpelisib	10	1362.6666666666667	1040	4489	1	-0.14538981205471846	0.23167743372688795	1.7199614006990795	BT-20 Alpelisib
BT-20	Alvocidib	0.04	1362.6666666666667	2238	4327	-1.3979400086720375	0.34667098597655777	0.5172174716893921	1.6669344252054261	BT-20 Alvocidib
BT-20	Alvocidib	0.12	1362.6666666666667	1197.3333333333333	4327	-0.9208187539523752	-0.07466140088486717	0.2767121177104999	1.6669344252054261	BT-20 Alvocidib
BT-20	Alvocidib	0.37	1362.6666666666667	867	4327	-0.431798275933005	-0.23757591932274003	0.2003697712040675	1.6669344252054261	BT-20 Alvocidib
BT-20	Alvocidib	1.11	1362.6666666666667	704	4327	0.045322978786657475	-0.3271202497536876	0.16269932978969262	1.6669344252054261	BT-20 Alvocidib
BT-20	Alvocidib	3.33	1362.6666666666667	729	4327	0.5224442335063199	-0.31288580654963705	0.16847700485324704	1.6669344252054261	BT-20 Alvocidib
BT-20	Alvocidib	10	1362.6666666666667	690.6666666666666	4327	1	-0.33479460711130027	0.15961790308913026	1.6669344252054261	BT-20 Alvocidib
BT-20	AT-7519	0.04	1362.6666666666667	3962.6666666666665	4327	-1.3979400086720375	0.8972041463092277	0.9158000154071335	1.6669344252054261	BT-20 AT-7519
BT-20	AT-7519	0.12	1362.6666666666667	3340.6666666666665	4327	-0.9208187539523752	0.7124920859682717	0.7720514598258994	1.6669344252054261	BT-20 AT-7519
BT-20	AT-7519	0.37	1362.6666666666667	1913.6666666666667	4327	-0.431798275933005	0.2259472460970844	0.4422617671982128	1.6669344252054261	BT-20 AT-7519
BT-20	AT-7519	1.11	1362.6666666666667	972	4327	0.045322978786657475	-0.18345500649407542	0.22463600647099607	1.6669344252054261	BT-20 AT-7519
BT-20	AT-7519	3.33	1362.6666666666667	702.3333333333334	4327	0.5224442335063199	-0.3280763444163495	0.16231415145212233	1.6669344252054261	BT-20 AT-7519
BT-20	AT-7519	10	1362.6666666666667	578.6666666666666	4327	1	-0.4017824512352802	0.13373391880440644	1.6669344252054261	BT-20 AT-7519
BT-20	AZD 5438	0.04	1362.6666666666667	3936.6666666666665	4327	-1.3979400086720375	0.8897267091595535	0.9097912333410368	1.6669344252054261	BT-20 AZD 5438
BT-20	AZD 5438	0.12	1362.6666666666667	3162	4327	-0.9208187539523752	0.6569450537541972	0.7307603420383637	1.6669344252054261	BT-20 AZD 5438
BT-20	AZD 5438	0.37	1362.6666666666667	2265	4327	-0.431798275933005	0.35639404961039434	0.523457360758031	1.6669344252054261	BT-20 AZD 5438
BT-20	AZD 5438	1.11	1362.6666666666667	1529	4327	0.045322978786657475	0.07153384049161726	0.3533626068869887	1.6669344252054261	BT-20 AZD 5438
BT-20	AZD 5438	3.33	1362.6666666666667	1145.6666666666667	4327	0.5224442335063199	-0.09882642752099713	0.26477158924582084	1.6669344252054261	BT-20 AZD 5438
BT-20	AZD 5438	10	1362.6666666666667	656.6666666666666	4327	1	-0.35463745078830633	0.15176026500269624	1.6669344252054261	BT-20 AZD 5438
BT-20	AZD-6482	0.04	1362.6666666666667	4371.333333333333	4489	-1.3979400086720375	0.9693506648185701	0.9737877775302591	1.7199614006990795	BT-20 AZD-6482
BT-20	AZD-6482	0.12	1362.6666666666667	4080.6666666666665	4489	-0.9208187539523752	0.8921211521156427	0.9090369050271032	1.7199614006990795	BT-20 AZD-6482
BT-20	AZD-6482	0.37	1362.6666666666667	3582	4489	-0.431798275933005	0.7540339906708613	0.7979505457785698	1.7199614006990795	BT-20 AZD-6482
BT-20	AZD-6482	1.11	1362.6666666666667	2806	4489	0.045322978786657475	0.5219019415887065	0.6250835375361996	1.7199614006990795	BT-20 AZD-6482
BT-20	AZD-6482	3.33	1362.6666666666667	1995	4489	0.5224442335063199	0.24811344014505377	0.4444196925818668	1.7199614006990795	BT-20 AZD-6482
BT-20	AZD-6482	10	1362.6666666666667	1177.3333333333333	4489	1	-0.08148496592361865	0.2622707358728744	1.7199614006990795	BT-20 AZD-6482
BT-20	AZD7762	0.04	1362.6666666666667	4551	4327	-1.3979400086720375	1.0614834248842273	1.0517679685694477	1.6669344252054261	BT-20 AZD7762
BT-20	AZD7762	0.12	1362.6666666666667	3942	4327	-0.9208187539523752	0.8912621494264907	0.9110238040212618	1.6669344252054261	BT-20 AZD7762
BT-20	AZD7762	0.37	1362.6666666666667	3131.6666666666665	4327	-0.431798275933005	0.6473910753357124	0.7237500962945843	1.6669344252054261	BT-20 AZD7762
BT-20	AZD7762	1.11	1362.6666666666667	2027.3333333333333	4327	0.045322978786657475	0.26912584587471233	0.46853092982050687	1.6669344252054261	BT-20 AZD7762
BT-20	AZD7762	3.33	1362.6666666666667	1246.6666666666667	4327	0.5224442335063199	-0.051974207811655404	0.2881133965025807	1.6669344252054261	BT-20 AZD7762
