CellHMSLINCSID	CellName	SmallMoleculeHMSLINCSID	SmallMoleculeName	SmallMolConcUnit	Replicate	SeedingDensity	GR50	GRmax	GR_AOC	GEC50	GRinf	h_GR	r2_GR	pval_GR
50029	MCF7	10024-101-1	NVP-TAE684	uM	1	156.25	0.0698819696722517	-0.123349802594591	0.59467754139387	0.0765350363796179	-0.084868220115419	1.72395876054882	0.577196151583314	0.049145783236072
50029	MCF7	10024-101-1	NVP-TAE684	uM	1	312.5	0.213779670636567	-0.217721356198506	0.462840245494486	0.280304063253668	-0.223561210531049	1.36411009790649	0.947691507996154	3.27342729894431e-05
50029	MCF7	10024-101-1	NVP-TAE684	uM	1	625	0.085825288244535	-0.230353434939567	0.640238873389855	0.135237015406291	-0.253086970359129	0.900723378936101	0.943171366756797	4.3750723481506e-05
50029	MCF7	10024-101-1	NVP-TAE684	uM	1	1250	0.0820550791115711	-0.270317912451453	0.638418830635207	0.125000153840273	-0.283509247569879	1.06711544049351	0.994016668943192	1.65691647069366e-08
50029	MCF7	10024-101-1	NVP-TAE684	uM	1	2500	0.102497559277096	-0.212323564932948	0.590626289838039	0.141399053903928	-0.224225030365542	1.1515071574816	0.987795412746968	2.008310403534e-07
50029	MCF7	10024-101-1	NVP-TAE684	uM	1	5000	0.173484170772198	-0.10266624535184	0.492173581141927	0.215345033994024	-0.126779354538665	1.04548252125676	0.995902969862631	4.40191905148879e-09
50029	MCF7	10049-101-1	PLX-4720	uM	1	156.25	Inf	1.0080391991383	-0.0427557003721102	0	0.999999999873586	0.01	-0.0645852148047754	1
50029	MCF7	10049-101-1	PLX-4720	uM	1	312.5	Inf	1.0820961452054	-0.333332878174351	0	0.999999999225191	0.01	-1.37103019338117	1
50029	MCF7	10049-101-1	PLX-4720	uM	1	625	Inf	0.873405337599646	-0.167130414506472	0	0.999999999064903	0.01	-1.06837029376008	0.86819901082695
50029	MCF7	10049-101-1	PLX-4720	uM	1	1250	Inf	0.824175198600059	-0.128471666784357	0	0.999999941293607	0.01	-0.431350726713065	0.745905072461697
50029	MCF7	10049-101-1	PLX-4720	uM	1	2500	Inf	0.870521924881599	-0.0880826333784513	0	0.999999999935787	0.01	-0.462739001471774	0.701590747440736
50029	MCF7	10049-101-1	PLX-4720	uM	1	5000	27.7937632007177	0.837302426084847	-0.00655525076903557	27.5829987699805	0.0186725382098767	4.99999956830866	0.697486607759387	0.0152267097367698
50029	MCF7	10051-104-1	Lapatinib	uM	10	156.25	Inf	0.360567353653611	-0.582703132706193	0	0.999999999977704	0.01	-0.865248489909245	0.76162379031493
50029	MCF7	10051-104-1	Lapatinib	uM	10	312.5	Inf	0.271706283047096	-0.308701922847596	0	0.999999985695473	0.01	-0.417631570760631	0.387211092642634
50029	MCF7	10051-104-1	Lapatinib	uM	10	625	Inf	0.287740231264094	-0.301248933155703	0	0.999999973820547	0.01	-0.530118520204351	0.297373729038697
50029	MCF7	10051-104-1	Lapatinib	uM	10	1250	7.89135229444326	0.294998333225721	0.0204021130428863	7.75611028998815	0.0324558678510345	3.88245942539135	0.938083491286914	5.90639665271064e-05
50029	MCF7	10051-104-1	Lapatinib	uM	10	2500	5.44016327477793	0.374612340586222	0.047954782611128	4.17647791672502	0.366658174383684	4.99995542698093	0.968266908105874	5.6923731660552e-06
50029	MCF7	10051-104-1	Lapatinib	uM	10	5000	6.99295664063646	0.356152881989098	0.043962565635472	5.68707644633268	0.207607917680441	2.59551970450256	0.987674316223763	2.07892381753894e-07
