cell_line	small_molecule	replicate	GR50	GRmax	GR_AOC	GEC50	GRinf	h_GR	r2_GR	pval_GR
BT-20	A443654	1	0.0205851388189029	-0.422306121250379	1.03851968728728	0.10147142353655	-0.540661959860027	0.459503885716929	0.964981775134934	0.00122627607270021
BT-20	A443654	2	0.204803714626554	-0.674856955740446	0.849111051107456	1.12224899607419	-0.999999999999787	0.645848193569997	0.988212968107456	0.000138934120835876
BT-20	A443654	3	0.0532003409941858	-0.410178924461033	1.13525667989171	0.0899448603254243	-0.421992573255053	1.16528616480198	0.997752141885925	5.05286610097411e-06
BT-20	AT-7519	1	0.18778411373114	-0.291685933787252	0.813387464431891	0.222304148524667	-0.200748652141726	2.00020234523826	0.985169139632716	0.000219954419233837
BT-20	AT-7519	2	0.479858649191917	-0.628920198787587	0.7988658724087	0.67318508991327	-0.622646384390492	2.3892681476506	0.998791089100573	1.46146556279092e-06
BT-20	AT-7519	3	0.0887871835788892	-0.3418668651868	1.03884506485194	0.124748763559303	-0.345686982703597	1.54543889012788	0.999557220689886	1.9605351742058e-07
BT-20	AZD 5438	1	0.223992259165947	-0.247018807175728	0.725235050211479	0.312637740422401	-0.201492225429698	1.01549954800108	0.977618867403331	0.000500915096309673
BT-20	AZD 5438	2	0.478180048331239	-0.533489855589228	0.677660402157335	1.67528032409787	-0.878378114339206	0.808818311249347	0.998040306030813	3.84040045287026e-06
BT-20	AZD 5438	3	0.129550655007681	-0.334051592991909	0.862426544359792	0.246205609204256	-0.358977861882427	0.842764735675867	0.995318649425564	2.19150432008153e-05
BT-20	AZD-6482	1	1.26987311521341	-0.035224942182047	0.428802738951014	3.49829869902123	-0.525203995182209	0.708572422685988	0.999594159161908	1.64706785876767e-07
BT-20	AZD-6482	2	1.74548047026277	-0.072010205042719	0.35971822880363	3.57512912076866	-0.471518420152614	0.926469450461562	0.991992194446893	6.41249497763674e-05
BT-20	AZD-6482	3	0.945613530764132	-0.164734369611127	0.491125257719442	3.1523520255265	-0.672647432707444	0.707941410584968	0.997688584650086	5.34264091978098e-06
BT-20	AZD7762	1	0.731925898678573	-0.331334418913431	0.530161505942308	1.10131132839352	-0.360770352012667	1.32953853567202	0.983810279385365	0.000262107053579874
BT-20	AZD7762	2	0.95089621527243	-0.526159841935213	0.529560724202678	3.1605193086831	-0.999999990242935	0.914681909195619	0.989661281824076	0.00010688909352119
BT-20	AZD7762	3	0.343663736225647	-0.395603075939448	0.719071324095963	0.699671097301921	-0.487654384357697	0.957490525271347	0.992474518442688	5.66328726694376e-05
BT-20	AZD8055	1	-Inf	-0.053923152258697	0.873577330067319	0.244247484805107	-0.637753245799417	0.144775223609865	0.949104397753629	0.00259036232802079
BT-20	AZD8055	2	0.0199496673159024	-0.141472206860728	0.867740219438553	0.0670573063880869	-0.278199799343108	0.364895153318096	0.960183675512715	0.00158533969567676
BT-20	AZD8055	3	-Inf	-0.720309557914845	1.07175730878258	0	-0.106756125313347	0.01	-2.22044604925031e-16	0.110587568523532
BT-20	AZD8330	1	Inf	0.781535127119439	0.25467736316879	0	0.74188174722533	0.01	0	1
BT-20	AZD8330	2	Inf	0.777502160886116	0.236488838157647	0	0.760057006184823	0.01	-2.22044604925031e-16	1
BT-20	AZD8330	3	Inf	0.796768292857867	0.254182823877587	0	0.748923193132232	0.01	0	1
BT-20	Afatinib	1	Inf	-0.0315933986504446	0.242653307245594	0	0.684470509354493	0.01	-9.16156039920679e-13	0.0692168486970175
BT-20	Afatinib	2	Inf	0.330565468665059	0.253585650186828	0	0.707849278194453	0.01	0	0.46224470969484
BT-20	Afatinib	3	5.68844301964596	-0.156113950626935	0.282061454303401	8.84338761293808	-0.999999933746969	2.48986622939563	0.77738301694022	0.0495583211466368
BT-20	Alpelisib	1	1.16155000152804	-0.0750916153737251	0.43351279687858	1.93732115087892	-0.311368841807615	0.946366629198075	0.983025241137399	0.000288142438443439
BT-20	Alpelisib	2	1.47187107636798	-0.209304068548021	0.40206727578983	2.83098475028505	-0.521336667662724	1.09198918238434	0.982421537774256	0.000309002334221931
BT-20	Alpelisib	3	0.922040716529566	-0.184741647981085	0.468076579429051	1.32525039421158	-0.272877779143537	1.20052939972811	0.990246083946109	9.51388783863027e-05
BT-20	Alvocidib	1	0.031962649899458	-0.185541250245969	1.1086593457777	0.0370493714067402	-0.183327964054096	2.11511193937065	0.996687559304991	1.09722633580001e-05
BT-20	Alvocidib	2	0.054630738940639	-0.602670994043048	1.26146589517939	0.103802351480819	-0.607705143676363	1.23920803180162	0.998283190431202	2.94743509554607e-06
BT-20	Alvocidib	3	0.0268839396817026	-0.302080455595078	1.25603680629304	0.0297750930518016	-0.285476997909421	4.42205852534314	0.99135036366913	7.48162086563475e-05
