cell_line	small_molecule	concentration	cell_count__time0	cell_count	cell_count__ctrl	replicate	GRvalue
BT-20	A443654	0.04	1097	2449	3673	3	0.585108986008485
BT-20	A443654	0.04	1334	3139	3925	2	0.732594809719411
BT-20	A443654	0.04	1657	2897	5383	1	0.389104343651021
BT-20	A443654	0.12	1097	1500	3673	3	0.196582154758198
BT-20	A443654	0.12	1334	2994	3925	2	0.680756201158719
BT-20	A443654	0.12	1657	2386	5383	1	0.239238174520553
BT-20	A443654	0.37	1097	728	3673	3	-0.209581273662206
BT-20	A443654	0.37	1334	2004	3925	2	0.298730953825144
BT-20	A443654	0.37	1657	1495	5383	1	-0.0587297120331398
BT-20	A443654	1.11	1097	493	3673	3	-0.367942222896776
BT-20	A443654	1.11	1334	1361	3925	2	0.0129531981510311
BT-20	A443654	1.11	1657	1225	5383	1	-0.162809850043548
BT-20	A443654	3.33	1097	469	3673	3	-0.385778982457085
BT-20	A443654	3.33	1334	809	3925	2	-0.274745628943381
BT-20	A443654	3.33	1657	1142	5383	1	-0.196660967478179
BT-20	A443654	10	1097	437	3673	3	-0.410178924461033
BT-20	A443654	10	1334	232	3925	2	-0.674856955740446
BT-20	A443654	10	1657	652	5383	1	-0.422306121250379
BT-20	AT-7519	0.04	1097	3026	3673	3	0.789620578399073
BT-20	AT-7519	0.04	1334	3747	3925	2	0.941261580545109
BT-20	AT-7519	0.04	1657	5115	5383	1	0.940807333689373
BT-20	AT-7519	0.12	1097	1875	3673	3	0.359970416414429
BT-20	AT-7519	0.12	1334	3834	3925	2	0.970092660344529
BT-20	AT-7519	0.12	1657	4313	5383	1	0.755536652062959
BT-20	AT-7519	0.37	1097	832	3673	3	-0.14666213621952
BT-20	AT-7519	0.37	1334	3020	3925	2	0.690116369285659
BT-20	AT-7519	0.37	1657	1889	5383	1	0.0801382865402818
BT-20	AT-7519	1.11	1097	588	3673	3	-0.300715161437979
BT-20	AT-7519	1.11	1334	854	3925	2	-0.249086127737839
BT-20	AT-7519	1.11	1657	1474	5383	1	-0.0665306631945891
BT-20	AT-7519	3.33	1097	540	3673	3	-0.334051592991909
BT-20	AT-7519	3.33	1334	350	3925	2	-0.576577146174437
BT-20	AT-7519	3.33	1657	1217	5383	1	-0.166030592715987
BT-20	AT-7519	10	1097	529	3673	3	-0.3418668651868
BT-20	AT-7519	10	1334	285	3925	2	-0.628920198787587
BT-20	AT-7519	10	1657	922	5383	1	-0.291685933787252
BT-20	AZD 5438	0.04	1097	3015	3673	3	0.785886135004391
BT-20	AZD 5438	0.04	1334	3748	3925	2	0.941594323936649
BT-20	AZD 5438	0.04	1657	5047	5383	1	0.925586696300222
BT-20	AZD 5438	0.12	1097	2250	3673	3	0.50989691513115
BT-20	AZD 5438	0.12	1334	3323	3925	2	0.797159355551103
BT-20	AZD 5438	0.12	1657	3913	5383	1	0.65784161701503
BT-20	AZD 5438	0.37	1097	1456	3673	3	0.176321476372649
BT-20	AZD 5438	0.37	1334	2710	3925	2	0.576539618566579
BT-20	AZD 5438	0.37	1657	2629	5383	1	0.311999648523443
BT-20	AZD 5438	1.11	1097	1022	3673	3	-0.0398065996747982
BT-20	AZD 5438	1.11	1334	1736	3925	2	0.184332977768156
BT-20	AZD 5438	1.11	1657	1829	5383	1	0.0598210420643195
BT-20	AZD 5438	3.33	1097	761	3673	3	-0.189224208463616
BT-20	AZD 5438	3.33	1334	1019	3925	2	-0.158868119062636
BT-20	AZD 5438	3.33	1657	1657	5383	1	0
BT-20	AZD 5438	10	1097	540	3673	3	-0.334051592991909
BT-20	AZD 5438	10	1334	407	3925	2	-0.533489855589228
BT-20	AZD 5438	10	1657	1023	5383	1	-0.247018807175728
BT-20	AZD-6482	0.04	1097	3658	3846	3	0.945375551052739
BT-20	AZD-6482	0.04	1334	4128	4033	2	1.02938817284774
BT-20	AZD-6482	0.04	1657	5328	5588	1	0.946396127656663
BT-20	AZD-6482	0.12	1097	3269	3846	3	0.82819776807434
BT-20	AZD-6482	0.12	1334	3969	4033	2	0.980055757665726
BT-20	AZD-6482	0.12	1657	5004	5588	1	0.877997167517827
BT-20	AZD-6482	0.37	1097	2931	3846	3	0.721206043379515
BT-20	AZD-6482	0.37	1334	3487	4033	2	0.825779024125496
BT-20	AZD-6482	0.37	1657	4328	5588	1	0.728840585220885
BT-20	AZD-6482	1.11	1097	2110	3846	3	0.435376158837281
BT-20	AZD-6482	1.11	1334	2794	4033	2	0.589132452763081
BT-20	AZD-6482	1.11	1657	3514	5588	1	0.535181617438292
BT-20	AZD-6482	3.33	1097	1442	3846	3	0.163107691871569
BT-20	AZD-6482	3.33	1334	2082	4033	2	0.321672023031331
BT-20	AZD-6482	3.33	1657	2461	5588	1	0.25301084130211
BT-20	AZD-6482	10	1097	792	3846	3	-0.164734369611127
BT-20	AZD-6482	10	1334	1184	4033	2	-0.072010205042719
BT-20	AZD-6482	10	1657	1556	5588	1	-0.035224942182047
BT-20	AZD7762	0.04	1097	3676	3673	3	1.00093682577096
BT-20	AZD7762	0.04	1334	4096	3925	2	1.05553725997751
BT-20	AZD7762	0.04	1657	5881	5383	1	1.1068623646658
BT-20	AZD7762	0.12	1097	2846	3673	3	0.727761783223821
BT-20	AZD7762	0.12	1334	3628	3925	2	0.901435004069226
BT-20	AZD7762	0.12	1657	5352	5383	1	0.993216153369734
BT-20	AZD7762	0.37	1097	2115	3673	3	0.457248487377547
BT-20	AZD7762	0.37	1334	3122	3925	2	0.726562190422126
BT-20	AZD7762	0.37	1657	4158	5383	1	0.7181418616407
BT-20	AZD7762	1.11	1097	1307	3673	3	0.105688136889471
BT-20	AZD7762	1.11	1334	2258	3925	2	0.402188982776321
BT-20	AZD7762	1.11	1657	2517	5383	1	0.278823676577044
BT-20	AZD7762	3.33	1097	750	3673	3	-0.195967291493294
BT-20	AZD7762	3.33	1334	1438	3925	2	0.0493987718134341
BT-20	AZD7762	3.33	1657	1552	5383	1	-0.037779955730167
BT-20	AZD7762	10	1097	456	3673	3	-0.395603075939448
BT-20	AZD7762	10	1334	417	3925	2	-0.526159841935213
BT-20	AZD7762	10	1657	836	5383	1	-0.331334418913431
BT-20	AZD8055	0.04	1097	1423	3673	3	0.160954123121239
BT-20	AZD8055	0.04	1334	2367	3925	2	0.445296531736201
