Cell Name	Small Molecule Name	concentration	LJP Library Plate	Timepoint	cell_count__time0	cell_count	cell_count__ctrl
MCF7	Seliciclib	0.04	LJP5	72	1235	4831	4267
MCF7	Seliciclib	0.12	LJP5	72	1235	4452	4267
MCF7	Seliciclib	0.37	LJP5	72	1235	3789	4267
MCF7	Seliciclib	1.11	LJP5	72	1235	3527	4267
MCF7	Seliciclib	3.33	LJP5	72	1235	3101	4267
MCF7	Seliciclib	10	LJP5	72	1235	706	4267
MCF7	AT-7519	0.04	LJP6	72	1235	3560	4056
MCF7	AT-7519	0.12	LJP6	72	1235	1396	4056
MCF7	AT-7519	0.37	LJP6	72	1235	834	4056
MCF7	AT-7519	1.11	LJP6	72	1235	861	4056
MCF7	AT-7519	3.33	LJP6	72	1235	893	4056
MCF7	AT-7519	10	LJP6	72	1235	735	4056
MCF7	AZD7762	0.04	LJP6	72	1235	1904	4056
MCF7	AZD7762	0.12	LJP6	72	1235	1706	4056
MCF7	AZD7762	0.37	LJP6	72	1235	1544	4056
MCF7	AZD7762	1.11	LJP6	72	1235	1310	4056
MCF7	AZD7762	3.33	LJP6	72	1235	1057	4056
MCF7	AZD7762	10	LJP6	72	1235	765	4056
MCF7	AZD8055	0.04	LJP6	72	1235	1307	4056
MCF7	AZD8055	0.12	LJP6	72	1235	1319	4056
MCF7	AZD8055	0.37	LJP6	72	1235	1289	4056
MCF7	AZD8055	1.11	LJP6	72	1235	1291	4056
MCF7	AZD8055	3.33	LJP6	72	1235	1242	4056
MCF7	AZD8055	10	LJP6	72	1235	1116	4056
MCF7	Sorafenib	0.04	LJP6	72	1235	3940	4056
MCF7	Sorafenib	0.12	LJP6	72	1235	3561	4056
MCF7	Sorafenib	0.37	LJP6	72	1235	3908	4056
MCF7	Sorafenib	1.11	LJP6	72	1235	3680	4056
MCF7	Sorafenib	3.33	LJP6	72	1235	3446	4056
MCF7	Sorafenib	10	LJP6	72	1235	1645	4056
MCF7	CP466722	0.04	LJP5	72	1235	4851	4267
MCF7	CP466722	0.12	LJP5	72	1235	4537	4267
MCF7	CP466722	0.37	LJP5	72	1235	4829	4267
MCF7	CP466722	1.11	LJP5	72	1235	4687	4267
MCF7	CP466722	3.33	LJP5	72	1235	4230	4267
MCF7	CP466722	10	LJP5	72	1235	1972	4267
MCF7	CP724714	0.04	LJP5	72	1235	3247	4267
MCF7	CP724714	0.12	LJP5	72	1235	3363	4267
MCF7	CP724714	0.37	LJP5	72	1235	3410	4267
MCF7	CP724714	1.11	LJP5	72	1235	3304	4267
MCF7	CP724714	3.33	LJP5	72	1235	3278	4267
MCF7	CP724714	10	LJP5	72	1235	2110	4267
MCF7	Alvocidib	0.04	LJP6	72	1235	1126	4056
MCF7	Alvocidib	0.12	LJP6	72	1235	676	4056
MCF7	Alvocidib	0.37	LJP6	72	1235	694	4056
MCF7	Alvocidib	1.11	LJP6	72	1235	573	4056
MCF7	Alvocidib	3.33	LJP6	72	1235	542	4056
MCF7	Alvocidib	10	LJP6	72	1235	512	4056
MCF7	GW843682X	0.04	LJP6	72	1235	3022	4056
MCF7	GW843682X	0.12	LJP6	72	1235	1616	4056
MCF7	GW843682X	0.37	LJP6	72	1235	1517	4056
MCF7	GW843682X	1.11	LJP6	72	1235	1433	4056
MCF7	GW843682X	3.33	LJP6	72	1235	1328	4056
MCF7	GW843682X	10	LJP6	72	1235	1612	4056
MCF7	HG-5-113-01	0.04	LJP5	72	1235	3513	4267
MCF7	HG-5-113-01	0.12	LJP5	72	1235	2603	4267
MCF7	HG-5-113-01	0.37	LJP5	72	1235	1706	4267
MCF7	HG-5-113-01	1.11	LJP5	72	1235	1446	4267
MCF7	HG-5-113-01	3.33	LJP5	72	1235	1371	4267
MCF7	HG-5-113-01	10	LJP5	72	1235	883	4267
MCF7	HG-5-88-01	0.04	LJP6	72	1235	2625	4056
MCF7	HG-5-88-01	0.12	LJP6	72	1235	2639	4056
MCF7	HG-5-88-01	0.37	LJP6	72	1235	2225	4056
MCF7	HG-5-88-01	1.11	LJP6	72	1235	1895	4056
MCF7	HG-5-88-01	3.33	LJP6	72	1235	1501	4056
MCF7	HG-5-88-01	10	LJP6	72	1235	1192	4056
MCF7	HG-6-64-01	0.04	LJP6	72	1235	4834	4056
MCF7	HG-6-64-01	0.12	LJP6	72	1235	4613	4056
MCF7	HG-6-64-01	0.37	LJP6	72	1235	3989	4056
MCF7	HG-6-64-01	1.11	LJP6	72	1235	3432	4056
MCF7	HG-6-64-01	3.33	LJP6	72	1235	2586	4056
MCF7	HG-6-64-01	10	LJP6	72	1235	701	4056
MCF7	Neratinib	0.04	LJP5	72	1235	3207	4267
MCF7	Neratinib	0.12	LJP5	72	1235	2830	4267
MCF7	Neratinib	0.37	LJP5	72	1235	2689	4267
MCF7	Neratinib	1.11	LJP5	72	1235	2436	4267
MCF7	Neratinib	3.33	LJP5	72	1235	2031	4267
MCF7	Neratinib	10	LJP5	72	1235	1169	4267
MCF7	JW-7-24-1	0.04	LJP6	72	1235	2487	4056
MCF7	JW-7-24-1	0.12	LJP6	72	1235	2410	4056
MCF7	JW-7-24-1	0.37	LJP6	72	1235	1837	4056
MCF7	JW-7-24-1	1.11	LJP6	72	1235	1666	4056
MCF7	JW-7-24-1	3.33	LJP6	72	1235	1581	4056
MCF7	JW-7-24-1	10	LJP6	72	1235	962	4056
MCF7	Dasatinib	0.04	LJP5	72	1235	2621	4267
MCF7	Dasatinib	0.04	LJP6	72	1235	1127	4056
MCF7	Dasatinib	0.12	LJP5	72	1235	1273	4267
MCF7	Dasatinib	0.12	LJP6	72	1235	989	4056
MCF7	Dasatinib	0.37	LJP5	72	1235	906	4267
MCF7	Dasatinib	0.37	LJP6	72	1235	972	4056
MCF7	Dasatinib	1.11	LJP5	72	1235	999	4267
MCF7	Dasatinib	1.11	LJP6	72	1235	1065	4056
MCF7	Dasatinib	3.33	LJP5	72	1235	972	4267
MCF7	Dasatinib	3.33	LJP6	72	1235	916	4056
MCF7	Dasatinib	10	LJP5	72	1235	918	4267
MCF7	Dasatinib	10	LJP6	72	1235	786	4056
MCF7	Tozasertib	0.04	LJP5	72	1235	1440	4267
MCF7	Tozasertib	0.12	LJP5	72	1235	1383	4267
MCF7	Tozasertib	0.37	LJP5	72	1235	1483	4267
MCF7	Tozasertib	1.11	LJP5	72	1235	1368	4267
MCF7	Tozasertib	3.33	LJP5	72	1235	1433	4267
MCF7	Tozasertib	10	LJP5	72	1235	1318	4267
MCF7	Imatinib	0.04	LJP6	72	1235	4481	4056
MCF7	Imatinib	0.12	LJP6	72	1235	4463	4056
MCF7	Imatinib	0.37	LJP6	72	1235	4629	4056
MCF7	Imatinib	1.11	LJP6	72	1235	4431	4056
MCF7	Imatinib	3.33	LJP6	72	1235	4335	4056
MCF7	Imatinib	10	LJP6	72	1235	3826	4056
MCF7	NVP-TAE684	0.04	LJP6	72	1235	2633	4056
MCF7	NVP-TAE684	0.12	LJP6	72	1235	1410	4056
MCF7	NVP-TAE684	0.37	LJP6	72	1235	1196	4056
MCF7	NVP-TAE684	1.11	LJP6	72	1235	1065	4056
MCF7	NVP-TAE684	3.33	LJP6	72	1235	1021	4056
MCF7	NVP-TAE684	10	LJP6	72	1235	1168	4056
MCF7	CGP60474	0.04	LJP5	72	1235	4211	4267
MCF7	CGP60474	0.04	LJP6	72	1235	604	4056
MCF7	CGP60474	0.12	LJP5	72	1235	774	4267
MCF7	CGP60474	0.12	LJP6	72	1235	587	4056
MCF7	CGP60474	0.37	LJP5	72	1235	777	4267
MCF7	CGP60474	0.37	LJP6	72	1235	592	4056
MCF7	CGP60474	1.11	LJP5	72	1235	861	4267
MCF7	CGP60474	1.11	LJP6	72	1235	551	4056
MCF7	CGP60474	3.33	LJP5	72	1235	673	4267
MCF7	CGP60474	3.33	LJP6	72	1235	514	4056
MCF7	CGP60474	10	LJP5	72	1235	670	4267
MCF7	CGP60474	10	LJP6	72	1235	383	4056
MCF7	PD173074	0.04	LJP6	72	1235	4512	4056
MCF7	PD173074	0.12	LJP6	72	1235	4427	4056
MCF7	PD173074	0.37	LJP6	72	1235	4506	4056
MCF7	PD173074	1.11	LJP6	72	1235	4692	4056
MCF7	PD173074	3.33	LJP6	72	1235	4840	4056
MCF7	PD173074	10	LJP6	72	1235	3129	4056
MCF7	Crizotinib	0.04	LJP5	72	1235	3325	4267
MCF7	Crizotinib	0.12	LJP5	72	1235	3061	4267
MCF7	Crizotinib	0.37	LJP5	72	1235	2485	4267
MCF7	Crizotinib	1.11	LJP5	72	1235	1641	4267
MCF7	Crizotinib	3.33	LJP5	72	1235	1243	4267
MCF7	Crizotinib	10	LJP5	72	1235	750	4267
MCF7	BMS345541	0.04	LJP6	72	1235	4482	4056
MCF7	BMS345541	0.12	LJP6	72	1235	4307	4056
MCF7	BMS345541	0.37	LJP6	72	1235	3766	4056
MCF7	BMS345541	1.11	LJP6	72	1235	2068	4056
MCF7	BMS345541	3.33	LJP6	72	1235	975	4056
MCF7	BMS345541	10	LJP6	72	1235	866	4056
MCF7	KIN001-043	0.04	LJP6	72	1235	3928	4056
MCF7	KIN001-043	0.12	LJP6	72	1235	3752	4056
MCF7	KIN001-043	0.37	LJP6	72	1235	3856	4056
MCF7	KIN001-043	1.11	LJP6	72	1235	3697	4056
MCF7	KIN001-043	3.33	LJP6	72	1235	3437	4056
MCF7	KIN001-043	10	LJP6	72	1235	1765	4056
MCF7	Saracatinib	0.04	LJP6	72	1235	3767	4056
MCF7	Saracatinib	0.12	LJP6	72	1235	2857	4056
MCF7	Saracatinib	0.37	LJP6	72	1235	2013	4056
MCF7	Saracatinib	1.11	LJP6	72	1235	1688	4056
MCF7	Saracatinib	3.33	LJP6	72	1235	1502	4056
MCF7	Saracatinib	10	LJP6	72	1235	1703	4056
MCF7	Sigma A6730	0.04	LJP5	72	1235	3330	4267
MCF7	Sigma A6730	0.12	LJP5	72	1235	3215	4267
MCF7	Sigma A6730	0.37	LJP5	72	1235	3167	4267
MCF7	Sigma A6730	1.11	LJP5	72	1235	2317	4267
MCF7	Sigma A6730	3.33	LJP5	72	1235	2373	4267
MCF7	Sigma A6730	10	LJP5	72	1235	1211	4267
MCF7	WH-4-025	0.04	LJP5	72	1235	4203	4267
MCF7	WH-4-025	0.12	LJP5	72	1235	2787	4267
MCF7	WH-4-025	0.37	LJP5	72	1235	1967	4267
MCF7	WH-4-025	1.11	LJP5	72	1235	1226	4267
MCF7	WH-4-025	3.33	LJP5	72	1235	1388	4267
MCF7	WH-4-025	10	LJP5	72	1235	1043	4267
MCF7	R406	0.04	LJP6	72	1235	4106	4056
MCF7	R406	0.12	LJP6	72	1235	4432	4056
MCF7	R406	0.37	LJP6	72	1235	3615	4056
MCF7	R406	1.11	LJP6	72	1235	3733	4056
MCF7	R406	3.33	LJP6	72	1235	3054	4056
MCF7	R406	10	LJP6	72	1235	1756	4056
MCF7	BI-2536	0.04	LJP6	72	1235	1523	4056
MCF7	BI-2536	0.12	LJP6	72	1235	1399	4056
MCF7	BI-2536	0.37	LJP6	72	1235	1463	4056
MCF7	BI-2536	1.11	LJP6	72	1235	1512	4056
MCF7	BI-2536	3.33	LJP6	72	1235	1395	4056
MCF7	BI-2536	10	LJP6	72	1235	934	4056
MCF7	A443654	0.04	LJP6	72	1235	1024	4056
MCF7	A443654	0.12	LJP6	72	1235	982	4056
MCF7	A443654	0.37	LJP6	72	1235	838	4056
MCF7	A443654	1.11	LJP6	72	1235	790	4056
MCF7	A443654	3.33	LJP6	72	1235	584	4056
MCF7	A443654	10	LJP6	72	1235	748	4056
MCF7	SB590885	0.04	LJP5	72	1235	4382	4267
MCF7	SB590885	0.12	LJP5	72	1235	4368	4267
MCF7	SB590885	0.37	LJP5	72	1235	4641	4267
MCF7	SB590885	1.11	LJP5	72	1235	4899	4267
MCF7	SB590885	3.33	LJP5	72	1235	4700	4267
MCF7	SB590885	10	LJP5	72	1235	2702	4267
MCF7	Pictilisib	0.04	LJP6	72	1235	1727	4056
MCF7	Pictilisib	0.12	LJP6	72	1235	1451	4056
MCF7	Pictilisib	0.37	LJP6	72	1235	1203	4056
MCF7	Pictilisib	1.11	LJP6	72	1235	1211	4056
MCF7	Pictilisib	3.33	LJP6	72	1235	1191	4056
MCF7	Pictilisib	10	LJP6	72	1235	1193	4056
MCF7	PD184352	0.04	LJP5	72	1235	4127	4267
MCF7	PD184352	0.12	LJP5	72	1235	3911	4267
MCF7	PD184352	0.37	LJP5	72	1235	3401	4267
MCF7	PD184352	1.11	LJP5	72	1235	3287	4267
MCF7	PD184352	3.33	LJP5	72	1235	2897	4267
MCF7	PD184352	10	LJP5	72	1235	2074	4267
MCF7	PLX-4720	0.04	LJP5	72	1235	4683	4267
MCF7	PLX-4720	0.12	LJP5	72	1235	3969	4267
MCF7	PLX-4720	0.37	LJP5	72	1235	4133	4267
MCF7	PLX-4720	1.11	LJP5	72	1235	4186	4267
MCF7	PLX-4720	3.33	LJP5	72	1235	3327	4267
MCF7	PLX-4720	10	LJP5	72	1235	2141	4267
MCF7	Lapatinib	0.04	LJP6	72	1235	2964	4056
MCF7	Lapatinib	0.12	LJP6	72	1235	3265	4056
